year,month,fund_name,return
2016,07,信诚鼎利混合(LOF)A,0.0
2016,08,信诚鼎利混合(LOF)A,0.002
2016,09,信诚鼎利混合(LOF)A,-0.001
2016,10,信诚鼎利混合(LOF)A,0.006
2016,11,信诚鼎利混合(LOF)A,0.012
2016,12,信诚鼎利混合(LOF)A,-0.009
2017,01,信诚鼎利混合(LOF)A,0.005
2017,02,信诚鼎利混合(LOF)A,0.022
2017,03,信诚鼎利混合(LOF)A,0.006
2017,04,信诚鼎利混合(LOF)A,-0.027
2017,05,信诚鼎利混合(LOF)A,-0.068
2017,06,信诚鼎利混合(LOF)A,0.032
2017,07,信诚鼎利混合(LOF)A,0.045
2017,08,信诚鼎利混合(LOF)A,0.038
2017,09,信诚鼎利混合(LOF)A,0.023
2017,10,信诚鼎利混合(LOF)A,-0.011
2017,11,信诚鼎利混合(LOF)A,-0.063
2017,12,信诚鼎利混合(LOF)A,-0.001
2018,01,信诚鼎利混合(LOF)A,0.011
2018,02,信诚鼎利混合(LOF)A,-0.041
2018,03,信诚鼎利混合(LOF)A,-0.042
2018,04,信诚鼎利混合(LOF)A,-0.02
2018,05,信诚鼎利混合(LOF)A,0.07
2018,06,信诚鼎利混合(LOF)A,-0.073
2018,07,信诚鼎利混合(LOF)A,-0.026
2018,08,信诚鼎利混合(LOF)A,-0.048
2018,09,信诚鼎利混合(LOF)A,-0.004
2018,10,信诚鼎利混合(LOF)A,-0.064
2018,11,信诚鼎利混合(LOF)A,0.018
2018,12,信诚鼎利混合(LOF)A,-0.002
2019,01,信诚鼎利混合(LOF)A,-0.008
2019,02,信诚鼎利混合(LOF)A,0.075
2019,03,信诚鼎利混合(LOF)A,0.018
2019,04,信诚鼎利混合(LOF)A,-0.019
2019,05,信诚鼎利混合(LOF)A,-0.02
2019,06,信诚鼎利混合(LOF)A,0.024
2019,07,信诚鼎利混合(LOF)A,0.045
2019,08,信诚鼎利混合(LOF)A,0.0
2019,09,信诚鼎利混合(LOF)A,0.001
2019,10,信诚鼎利混合(LOF)A,0.011
2019,11,信诚鼎利混合(LOF)A,0.011
2019,12,信诚鼎利混合(LOF)A,0.019
2020,01,信诚鼎利混合(LOF)A,0.029
2020,02,信诚鼎利混合(LOF)A,-0.019
2020,03,信诚鼎利混合(LOF)A,-0.046
2020,04,信诚鼎利混合(LOF)A,0.054
2020,05,信诚鼎利混合(LOF)A,-0.002
2020,06,信诚鼎利混合(LOF)A,0.105
2020,07,信诚鼎利混合(LOF)A,0.242
2020,08,信诚鼎利混合(LOF)A,0.063
2020,09,信诚鼎利混合(LOF)A,-0.059
2020,10,信诚鼎利混合(LOF)A,0.02
2020,11,信诚鼎利混合(LOF)A,0.003
2020,12,信诚鼎利混合(LOF)A,0.19
2021,01,信诚鼎利混合(LOF)A,-0.068
2021,02,信诚鼎利混合(LOF)A,-0.086
2021,03,信诚鼎利混合(LOF)A,-0.086
2021,04,信诚鼎利混合(LOF)A,0.084
2021,05,信诚鼎利混合(LOF)A,0.05
2021,06,信诚鼎利混合(LOF)A,0.162
2021,07,信诚鼎利混合(LOF)A,0.175
2021,08,信诚鼎利混合(LOF)A,-0.144
2021,09,信诚鼎利混合(LOF)A,-0.042
2021,10,信诚鼎利混合(LOF)A,0.01
2021,11,信诚鼎利混合(LOF)A,0.105
2021,12,信诚鼎利混合(LOF)A,-0.069
2022,01,信诚鼎利混合(LOF)A,-0.215
2022,02,信诚鼎利混合(LOF)A,0.038
2022,03,信诚鼎利混合(LOF)A,-0.191
2022,04,信诚鼎利混合(LOF)A,-0.143
2022,05,信诚鼎利混合(LOF)A,0.06
2022,06,信诚鼎利混合(LOF)A,0.133
2022,07,信诚鼎利混合(LOF)A,0.032
2022,08,信诚鼎利混合(LOF)A,-0.07
2022,09,信诚鼎利混合(LOF)A,-0.022
2022,10,信诚鼎利混合(LOF)A,0.015
2022,11,信诚鼎利混合(LOF)A,-0.022
2022,12,信诚鼎利混合(LOF)A,-0.07
2023,01,信诚鼎利混合(LOF)A,0.038
2023,02,信诚鼎利混合(LOF)A,-0.04
2023,03,信诚鼎利混合(LOF)A,0.03
