year,month,fund_name,return
2016,06,金信行业优选混合发起式,-0.025
2016,07,金信行业优选混合发起式,0.035
2016,08,金信行业优选混合发起式,-0.04
2016,09,金信行业优选混合发起式,-0.019
2016,10,金信行业优选混合发起式,-0.015
2016,11,金信行业优选混合发起式,0.013
2016,12,金信行业优选混合发起式,0.079
2017,01,金信行业优选混合发起式,0.023
2017,02,金信行业优选混合发起式,-0.036
2017,03,金信行业优选混合发起式,-0.031
2017,04,金信行业优选混合发起式,0.076
2017,05,金信行业优选混合发起式,0.068
2017,06,金信行业优选混合发起式,-0.083
2017,07,金信行业优选混合发起式,-0.006
2017,08,金信行业优选混合发起式,-0.05
2017,09,金信行业优选混合发起式,-0.059
2017,10,金信行业优选混合发起式,0.023
2017,11,金信行业优选混合发起式,0.052
2017,12,金信行业优选混合发起式,0.006
2018,01,金信行业优选混合发起式,0.07
2018,02,金信行业优选混合发起式,-0.02
2018,03,金信行业优选混合发起式,0.003
2018,04,金信行业优选混合发起式,0.069
2018,05,金信行业优选混合发起式,-0.005
2018,06,金信行业优选混合发起式,0.044
2018,07,金信行业优选混合发起式,0.045
2018,08,金信行业优选混合发起式,0.049
2018,09,金信行业优选混合发起式,0.018
2018,10,金信行业优选混合发起式,0.061
2018,11,金信行业优选混合发起式,-0.041
2018,12,金信行业优选混合发起式,0.076
2019,01,金信行业优选混合发起式,-0.083
2019,02,金信行业优选混合发起式,-0.121
2019,03,金信行业优选混合发起式,-0.024
2019,04,金信行业优选混合发起式,0.052
2019,05,金信行业优选混合发起式,-0.009
2019,06,金信行业优选混合发起式,-0.088
2019,07,金信行业优选混合发起式,0.029
2019,08,金信行业优选混合发起式,-0.074
2019,09,金信行业优选混合发起式,-0.012
2019,10,金信行业优选混合发起式,-0.094
2019,11,金信行业优选混合发起式,0.072
2019,12,金信行业优选混合发起式,-0.036
2020,01,金信行业优选混合发起式,0.037
2020,02,金信行业优选混合发起式,-0.129
2020,03,金信行业优选混合发起式,0.064
2020,04,金信行业优选混合发起式,-0.104
2020,05,金信行业优选混合发起式,-0.139
2020,06,金信行业优选混合发起式,-0.103
2020,07,金信行业优选混合发起式,-0.163
2020,08,金信行业优选混合发起式,-0.052
2020,09,金信行业优选混合发起式,0.072
2020,10,金信行业优选混合发起式,-0.104
2020,11,金信行业优选混合发起式,0.004
2020,12,金信行业优选混合发起式,-0.215
2021,01,金信行业优选混合发起式,-0.014
2021,02,金信行业优选混合发起式,0.04
2021,03,金信行业优选混合发起式,0.151
2021,04,金信行业优选混合发起式,-0.128
2021,05,金信行业优选混合发起式,-0.182
2021,06,金信行业优选混合发起式,-0.457
2021,07,金信行业优选混合发起式,-0.118
2021,08,金信行业优选混合发起式,0.184
2021,09,金信行业优选混合发起式,0.039
2021,10,金信行业优选混合发起式,-0.098
2021,11,金信行业优选混合发起式,-0.316
2021,12,金信行业优选混合发起式,0.377
2022,01,金信行业优选混合发起式,0.297
2022,02,金信行业优选混合发起式,-0.119
2022,03,金信行业优选混合发起式,0.285
2022,04,金信行业优选混合发起式,0.267
2022,05,金信行业优选混合发起式,-0.178
2022,06,金信行业优选混合发起式,-0.193
2022,07,金信行业优选混合发起式,-0.184
2022,08,金信行业优选混合发起式,0.108
2022,09,金信行业优选混合发起式,0.275
2022,10,金信行业优选混合发起式,-0.274
2022,11,金信行业优选混合发起式,0.15
2022,12,金信行业优选混合发起式,0.1
2023,01,金信行业优选混合发起式,0.002
2023,02,金信行业优选混合发起式,0.0
2023,03,金信行业优选混合发起式,-0.03
