year,month,fund_name,return
2016,01,中海混改红利混合,0.025
2016,02,中海混改红利混合,0.146
2016,03,中海混改红利混合,-0.13
2016,04,中海混改红利混合,0.014
2016,05,中海混改红利混合,0.04
2016,06,中海混改红利混合,-0.009
2016,07,中海混改红利混合,0.068
2016,08,中海混改红利混合,-0.006
2016,09,中海混改红利混合,-0.015
2016,10,中海混改红利混合,-0.006
2016,11,中海混改红利混合,0.014
2016,12,中海混改红利混合,0.066
2017,01,中海混改红利混合,0.026
2017,02,中海混改红利混合,-0.016
2017,03,中海混改红利混合,-0.076
2017,04,中海混改红利混合,0.012
2017,05,中海混改红利混合,0.042
2017,06,中海混改红利混合,-0.044
2017,07,中海混改红利混合,-0.063
2017,08,中海混改红利混合,-0.053
2017,09,中海混改红利混合,-0.025
2017,10,中海混改红利混合,-0.02
2017,11,中海混改红利混合,0.022
2017,12,中海混改红利混合,-0.037
2018,01,中海混改红利混合,-0.024
2018,02,中海混改红利混合,0.057
2018,03,中海混改红利混合,0.004
2018,04,中海混改红利混合,0.061
2018,05,中海混改红利混合,0.05
2018,06,中海混改红利混合,0.002
2018,07,中海混改红利混合,0.003
2018,08,中海混改红利混合,-0.023
2018,09,中海混改红利混合,0.089
2018,10,中海混改红利混合,0.011
2018,11,中海混改红利混合,-0.031
2018,12,中海混改红利混合,0.055
2019,01,中海混改红利混合,-0.058
2019,02,中海混改红利混合,-0.156
2019,03,中海混改红利混合,-0.096
2019,04,中海混改红利混合,0.143
2019,05,中海混改红利混合,-0.009
2019,06,中海混改红利混合,-0.102
2019,07,中海混改红利混合,0.036
2019,08,中海混改红利混合,-0.112
2019,09,中海混改红利混合,-0.07
2019,10,中海混改红利混合,-0.017
2019,11,中海混改红利混合,-0.008
2019,12,中海混改红利混合,-0.111
2020,01,中海混改红利混合,0.029
2020,02,中海混改红利混合,-0.169
2020,03,中海混改红利混合,0.207
2020,04,中海混改红利混合,-0.097
2020,05,中海混改红利混合,-0.104
2020,06,中海混改红利混合,-0.071
2020,07,中海混改红利混合,-0.352
2020,08,中海混改红利混合,0.131
2020,09,中海混改红利混合,0.088
2020,10,中海混改红利混合,0.092
2020,11,中海混改红利混合,-0.049
2020,12,中海混改红利混合,-0.18
2021,01,中海混改红利混合,-0.063
2021,02,中海混改红利混合,0.118
2021,03,中海混改红利混合,0.047
2021,04,中海混改红利混合,-0.105
2021,05,中海混改红利混合,-0.14
2021,06,中海混改红利混合,-0.041
2021,07,中海混改红利混合,-0.102
2021,08,中海混改红利混合,0.104
2021,09,中海混改红利混合,0.055
2021,10,中海混改红利混合,-0.093
2021,11,中海混改红利混合,-0.15
2021,12,中海混改红利混合,0.243
2022,01,中海混改红利混合,0.241
2022,02,中海混改红利混合,-0.119
2022,03,中海混改红利混合,0.159
2022,04,中海混改红利混合,0.207
2022,05,中海混改红利混合,-0.131
2022,06,中海混改红利混合,-0.045
2022,07,中海混改红利混合,-0.009
2022,08,中海混改红利混合,0.018
2022,09,中海混改红利混合,0.261
2022,10,中海混改红利混合,-0.173
2022,11,中海混改红利混合,0.048
2022,12,中海混改红利混合,0.1
2023,01,中海混改红利混合,-0.045
2023,02,中海混改红利混合,0.043
2023,03,中海混改红利混合,-0.029
