year,month,fund_name,return
2019,08,南方信息创新混合A,-0.051
2019,09,南方信息创新混合A,-0.071
2019,10,南方信息创新混合A,-0.083
2019,11,南方信息创新混合A,-0.05
2019,12,南方信息创新混合A,-0.213
2020,01,南方信息创新混合A,-0.015
2020,02,南方信息创新混合A,-0.338
2020,03,南方信息创新混合A,0.391
2020,04,南方信息创新混合A,-0.274
2020,05,南方信息创新混合A,-0.016
2020,06,南方信息创新混合A,-0.289
2020,07,南方信息创新混合A,-0.316
2020,08,南方信息创新混合A,0.179
2020,09,南方信息创新混合A,0.027
2020,10,南方信息创新混合A,0.117
2020,11,南方信息创新混合A,-0.07
2020,12,南方信息创新混合A,-0.071
2021,01,南方信息创新混合A,-0.055
2021,02,南方信息创新混合A,0.126
2021,03,南方信息创新混合A,0.163
2021,04,南方信息创新混合A,-0.018
2021,05,南方信息创新混合A,-0.148
2021,06,南方信息创新混合A,-0.198
2021,07,南方信息创新混合A,-0.155
2021,08,南方信息创新混合A,0.337
2021,09,南方信息创新混合A,0.029
2021,10,南方信息创新混合A,-0.129
2021,11,南方信息创新混合A,-0.165
2021,12,南方信息创新混合A,0.136
2022,01,南方信息创新混合A,0.309
2022,02,南方信息创新混合A,-0.064
2022,03,南方信息创新混合A,0.245
2022,04,南方信息创新混合A,0.183
2022,05,南方信息创新混合A,-0.182
2022,06,南方信息创新混合A,-0.132
2022,07,南方信息创新混合A,0.026
2022,08,南方信息创新混合A,0.114
2022,09,南方信息创新混合A,0.341
2022,10,南方信息创新混合A,-0.172
2022,11,南方信息创新混合A,0.06
2022,12,南方信息创新混合A,0.089
2023,01,南方信息创新混合A,-0.054
2023,02,南方信息创新混合A,0.018
2023,03,南方信息创新混合A,-0.028
