year,month,fund_name,return
2019,08,南方信息创新混合C,-0.05
2019,09,南方信息创新混合C,-0.07
2019,10,南方信息创新混合C,-0.082
2019,11,南方信息创新混合C,-0.049
2019,12,南方信息创新混合C,-0.212
2020,01,南方信息创新混合C,-0.014
2020,02,南方信息创新混合C,-0.335
2020,03,南方信息创新混合C,0.39
2020,04,南方信息创新混合C,-0.271
2020,05,南方信息创新混合C,-0.015
2020,06,南方信息创新混合C,-0.286
2020,07,南方信息创新混合C,-0.312
2020,08,南方信息创新混合C,0.179
2020,09,南方信息创新混合C,0.029
2020,10,南方信息创新混合C,0.117
2020,11,南方信息创新混合C,-0.068
2020,12,南方信息创新混合C,-0.068
2021,01,南方信息创新混合C,-0.053
2021,02,南方信息创新混合C,0.126
2021,03,南方信息创新混合C,0.163
2021,04,南方信息创新混合C,-0.016
2021,05,南方信息创新混合C,-0.145
2021,06,南方信息创新混合C,-0.193
2021,07,南方信息创新混合C,-0.151
2021,08,南方信息创新混合C,0.333
2021,09,南方信息创新混合C,0.031
2021,10,南方信息创新混合C,-0.125
2021,11,南方信息创新混合C,-0.16
2021,12,南方信息创新混合C,0.135
2022,01,南方信息创新混合C,0.305
2022,02,南方信息创新混合C,-0.062
2022,03,南方信息创新混合C,0.241
2022,04,南方信息创新混合C,0.18
2022,05,南方信息创新混合C,-0.177
2022,06,南方信息创新混合C,-0.128
2022,07,南方信息创新混合C,0.027
2022,08,南方信息创新混合C,0.113
2022,09,南方信息创新混合C,0.333
2022,10,南方信息创新混合C,-0.167
2022,11,南方信息创新混合C,0.06
2022,12,南方信息创新混合C,0.087
2023,01,南方信息创新混合C,-0.051
2023,02,南方信息创新混合C,0.019
2023,03,南方信息创新混合C,-0.027
