year,month,fund_name,return
2021,12,汇添富中证芯片产业指数增强发起C,0.056
2022,01,汇添富中证芯片产业指数增强发起C,0.107
2022,02,汇添富中证芯片产业指数增强发起C,-0.044
2022,03,汇添富中证芯片产业指数增强发起C,0.13
2022,04,汇添富中证芯片产业指数增强发起C,0.084
2022,05,汇添富中证芯片产业指数增强发起C,-0.052
2022,06,汇添富中证芯片产业指数增强发起C,-0.035
2022,07,汇添富中证芯片产业指数增强发起C,0.031
2022,08,汇添富中证芯片产业指数增强发起C,0.001
2022,09,汇添富中证芯片产业指数增强发起C,0.11
2022,10,汇添富中证芯片产业指数增强发起C,-0.079
2022,11,汇添富中证芯片产业指数增强发起C,-0.0
2022,12,汇添富中证芯片产业指数增强发起C,0.026
2023,01,汇添富中证芯片产业指数增强发起C,-0.038
2023,02,汇添富中证芯片产业指数增强发起C,0.016
2023,03,汇添富中证芯片产业指数增强发起C,-0.011
