year,month,fund_name,return
2018,09,诺安优化配置混合,0.001
2018,10,诺安优化配置混合,-0.008
2018,11,诺安优化配置混合,0.0
2018,12,诺安优化配置混合,-0.001
2019,01,诺安优化配置混合,0.001
2019,02,诺安优化配置混合,-0.074
2019,03,诺安优化配置混合,-0.103
2019,04,诺安优化配置混合,0.041
2019,05,诺安优化配置混合,-0.011
2019,06,诺安优化配置混合,0.007
2019,07,诺安优化配置混合,-0.037
2019,08,诺安优化配置混合,-0.034
2019,09,诺安优化配置混合,0.0
2019,10,诺安优化配置混合,-0.042
2019,11,诺安优化配置混合,0.007
2019,12,诺安优化配置混合,-0.086
2020,01,诺安优化配置混合,0.121
2020,02,诺安优化配置混合,-0.097
2020,03,诺安优化配置混合,0.092
2020,04,诺安优化配置混合,-0.073
2020,05,诺安优化配置混合,-0.011
2020,06,诺安优化配置混合,-0.068
2020,07,诺安优化配置混合,-0.135
2020,08,诺安优化配置混合,-0.032
2020,09,诺安优化配置混合,0.013
2020,10,诺安优化配置混合,0.013
2020,11,诺安优化配置混合,-0.101
2020,12,诺安优化配置混合,-0.022
2021,01,诺安优化配置混合,-0.016
2021,02,诺安优化配置混合,-0.03
2021,03,诺安优化配置混合,0.049
2021,04,诺安优化配置混合,0.033
2021,05,诺安优化配置混合,-0.072
2021,06,诺安优化配置混合,-0.047
2021,07,诺安优化配置混合,0.085
2021,08,诺安优化配置混合,-0.008
2021,09,诺安优化配置混合,-0.061
2021,10,诺安优化配置混合,-0.005
2021,11,诺安优化配置混合,0.028
2021,12,诺安优化配置混合,-0.042
2022,01,诺安优化配置混合,0.171
2022,02,诺安优化配置混合,0.032
2022,03,诺安优化配置混合,0.114
2022,04,诺安优化配置混合,0.222
2022,05,诺安优化配置混合,-0.072
2022,06,诺安优化配置混合,-0.131
2022,07,诺安优化配置混合,-0.117
2022,08,诺安优化配置混合,0.048
2022,09,诺安优化配置混合,0.186
2022,10,诺安优化配置混合,-0.234
2022,11,诺安优化配置混合,0.101
2022,12,诺安优化配置混合,0.098
2023,01,诺安优化配置混合,-0.089
2023,02,诺安优化配置混合,-0.016
2023,03,诺安优化配置混合,-0.041
