,FundCode,FundName,TradingDay,NetWorth
0,013446,东财芯片C,2021-09-17,1.0
1,013446,东财芯片C,2021-10-08,0.994
2,013446,东财芯片C,2021-11-01,1.0134
3,013446,东财芯片C,2021-11-02,1.0342
4,013446,东财芯片C,2021-11-03,1.0265
5,013446,东财芯片C,2021-11-04,1.0409
6,013446,东财芯片C,2021-11-05,1.0445
7,013446,东财芯片C,2021-11-08,1.0286
8,013446,东财芯片C,2021-11-09,1.052
9,013446,东财芯片C,2021-11-10,1.0571
10,013446,东财芯片C,2021-11-11,1.0832
11,013446,东财芯片C,2021-11-12,1.0777
12,013446,东财芯片C,2021-11-15,1.0584
13,013446,东财芯片C,2021-11-16,1.0431
14,013446,东财芯片C,2021-11-17,1.0489
15,013446,东财芯片C,2021-11-18,1.0397
16,013446,东财芯片C,2021-11-19,1.0445
17,013446,东财芯片C,2021-11-22,1.0898
18,013446,东财芯片C,2021-11-23,1.0791
19,013446,东财芯片C,2021-11-24,1.0729
20,013446,东财芯片C,2021-11-25,1.0777
21,013446,东财芯片C,2021-11-26,1.0547
22,013446,东财芯片C,2021-11-29,1.0588
23,013446,东财芯片C,2021-11-30,1.0691
24,013446,东财芯片C,2021-12-01,1.0654
25,013446,东财芯片C,2021-12-02,1.0649
26,013446,东财芯片C,2021-12-03,1.0878
27,013446,东财芯片C,2021-12-06,1.0662
28,013446,东财芯片C,2021-12-07,1.043
29,013446,东财芯片C,2021-12-08,1.0694
30,013446,东财芯片C,2021-12-09,1.0746
31,013446,东财芯片C,2021-12-10,1.0692
32,013446,东财芯片C,2021-12-13,1.0736
33,013446,东财芯片C,2021-12-14,1.0726
34,013446,东财芯片C,2021-12-15,1.0596
35,013446,东财芯片C,2021-12-16,1.0588
36,013446,东财芯片C,2021-12-17,1.0286
37,013446,东财芯片C,2021-12-20,1.0106
38,013446,东财芯片C,2021-12-21,1.0174
39,013446,东财芯片C,2021-12-22,1.0286
40,013446,东财芯片C,2021-12-23,1.0296
41,013446,东财芯片C,2021-12-24,1.0279
42,013446,东财芯片C,2021-12-27,1.0214
43,013446,东财芯片C,2021-12-28,1.0277
44,013446,东财芯片C,2021-12-29,1.0123
45,013446,东财芯片C,2021-12-30,1.0367
46,013446,东财芯片C,2021-12-31,1.0371
47,013446,东财芯片C,2022-01-04,1.0182
48,013446,东财芯片C,2022-01-05,0.9783
49,013446,东财芯片C,2022-01-06,0.9737
50,013446,东财芯片C,2022-01-07,0.9618
51,013446,东财芯片C,2022-01-10,0.9544
52,013446,东财芯片C,2022-01-11,0.9377
53,013446,东财芯片C,2022-01-12,0.9535
54,013446,东财芯片C,2022-01-13,0.9378
55,013446,东财芯片C,2022-01-14,0.95
56,013446,东财芯片C,2022-01-17,0.9686
57,013446,东财芯片C,2022-01-18,0.9777
58,013446,东财芯片C,2022-01-19,0.9619
59,013446,东财芯片C,2022-01-20,0.9523
60,013446,东财芯片C,2022-01-21,0.9355
61,013446,东财芯片C,2022-01-24,0.9483
62,013446,东财芯片C,2022-01-25,0.9281
63,013446,东财芯片C,2022-01-26,0.9376
64,013446,东财芯片C,2022-01-27,0.9057
65,013446,东财芯片C,2022-01-28,0.8907
66,013446,东财芯片C,2022-02-07,0.8969
67,013446,东财芯片C,2022-02-08,0.8749
68,013446,东财芯片C,2022-02-09,0.8807
69,013446,东财芯片C,2022-02-10,0.8831
70,013446,东财芯片C,2022-02-11,0.8689
71,013446,东财芯片C,2022-02-14,0.8609
72,013446,东财芯片C,2022-02-15,0.8913
73,013446,东财芯片C,2022-02-16,0.8863
74,013446,东财芯片C,2022-02-17,0.8951
75,013446,东财芯片C,2022-02-18,0.8875
76,013446,东财芯片C,2022-02-21,0.8855
77,013446,东财芯片C,2022-02-22,0.888
78,013446,东财芯片C,2022-02-23,0.9362
79,013446,东财芯片C,2022-02-24,0.9276
80,013446,东财芯片C,2022-02-25,0.936
81,013446,东财芯片C,2022-02-28,0.9403
82,013446,东财芯片C,2022-03-01,0.9402
83,013446,东财芯片C,2022-03-02,0.9274
84,013446,东财芯片C,2022-03-03,0.9094
85,013446,东财芯片C,2022-03-04,0.9166
86,013446,东财芯片C,2022-03-07,0.8837
87,013446,东财芯片C,2022-03-08,0.8845
88,013446,东财芯片C,2022-03-09,0.8919
89,013446,东财芯片C,2022-03-10,0.9001
90,013446,东财芯片C,2022-03-11,0.9006
91,013446,东财芯片C,2022-03-14,0.8716
92,013446,东财芯片C,2022-03-15,0.8441
93,013446,东财芯片C,2022-03-16,0.8832
94,013446,东财芯片C,2022-03-17,0.8962
95,013446,东财芯片C,2022-03-18,0.8884
96,013446,东财芯片C,2022-03-21,0.8963
97,013446,东财芯片C,2022-03-22,0.882
98,013446,东财芯片C,2022-03-23,0.8821
99,013446,东财芯片C,2022-03-24,0.8618
100,013446,东财芯片C,2022-03-25,0.8524
101,013446,东财芯片C,2022-03-28,0.8427
102,013446,东财芯片C,2022-03-29,0.8269
103,013446,东财芯片C,2022-03-30,0.8419
104,013446,东财芯片C,2022-03-31,0.8207
105,013446,东财芯片C,2022-04-01,0.8193
106,013446,东财芯片C,2022-04-06,0.795
107,013446,东财芯片C,2022-04-07,0.7801
108,013446,东财芯片C,2022-04-08,0.7825
109,013446,东财芯片C,2022-04-11,0.7442
110,013446,东财芯片C,2022-04-12,0.7529
111,013446,东财芯片C,2022-04-13,0.7344
112,013446,东财芯片C,2022-04-14,0.7498
113,013446,东财芯片C,2022-04-15,0.7475
114,013446,东财芯片C,2022-04-18,0.7726
115,013446,东财芯片C,2022-04-19,0.7569
116,013446,东财芯片C,2022-04-20,0.7466
117,013446,东财芯片C,2022-04-21,0.7302
118,013446,东财芯片C,2022-04-22,0.7139
119,013446,东财芯片C,2022-04-25,0.6631
120,013446,东财芯片C,2022-04-26,0.645
121,013446,东财芯片C,2022-04-27,0.6864
122,013446,东财芯片C,2022-04-28,0.6785
123,013446,东财芯片C,2022-04-29,0.702
124,013446,东财芯片C,2022-05-05,0.7053
125,013446,东财芯片C,2022-05-06,0.6864
126,013446,东财芯片C,2022-05-09,0.6815
127,013446,东财芯片C,2022-05-10,0.7059
128,013446,东财芯片C,2022-05-11,0.7303
129,013446,东财芯片C,2022-05-12,0.7369
130,013446,东财芯片C,2022-05-13,0.7341
131,013446,东财芯片C,2022-05-16,0.7257
132,013446,东财芯片C,2022-05-17,0.7508
133,013446,东财芯片C,2022-05-18,0.7541
134,013446,东财芯片C,2022-05-19,0.7664
135,013446,东财芯片C,2022-05-20,0.7685
136,013446,东财芯片C,2022-05-23,0.7748
137,013446,东财芯片C,2022-05-24,0.7443
138,013446,东财芯片C,2022-05-25,0.7447
139,013446,东财芯片C,2022-05-26,0.7395
140,013446,东财芯片C,2022-05-27,0.735
141,013446,东财芯片C,2022-05-30,0.7445
142,013446,东财芯片C,2022-05-31,0.7612
143,013446,东财芯片C,2022-06-01,0.76
