,FundCode,FundName,TradingDay,NetWorth
0,013445,东财芯片A,2021-09-17,1.0
1,013445,东财芯片A,2021-10-08,0.9942
2,013445,东财芯片A,2021-11-01,1.0139
3,013445,东财芯片A,2021-11-02,1.0347
4,013445,东财芯片A,2021-11-03,1.027
5,013445,东财芯片A,2021-11-04,1.0414
6,013445,东财芯片A,2021-11-05,1.045
7,013445,东财芯片A,2021-11-08,1.0292
8,013445,东财芯片A,2021-11-09,1.0527
9,013445,东财芯片A,2021-11-10,1.0577
10,013445,东财芯片A,2021-11-11,1.0839
11,013445,东财芯片A,2021-11-12,1.0784
12,013445,东财芯片A,2021-11-15,1.0591
13,013445,东财芯片A,2021-11-16,1.0438
14,013445,东财芯片A,2021-11-17,1.0496
15,013445,东财芯片A,2021-11-18,1.0404
16,013445,东财芯片A,2021-11-19,1.0452
17,013445,东财芯片A,2021-11-22,1.0906
18,013445,东财芯片A,2021-11-23,1.0799
19,013445,东财芯片A,2021-11-24,1.0737
20,013445,东财芯片A,2021-11-25,1.0785
21,013445,东财芯片A,2021-11-26,1.0555
22,013445,东财芯片A,2021-11-29,1.0596
23,013445,东财芯片A,2021-11-30,1.07
24,013445,东财芯片A,2021-12-01,1.0663
25,013445,东财芯片A,2021-12-02,1.0658
26,013445,东财芯片A,2021-12-03,1.0887
27,013445,东财芯片A,2021-12-06,1.0671
28,013445,东财芯片A,2021-12-07,1.044
29,013445,东财芯片A,2021-12-08,1.0704
30,013445,东财芯片A,2021-12-09,1.0756
31,013445,东财芯片A,2021-12-10,1.0702
32,013445,东财芯片A,2021-12-13,1.0746
33,013445,东财芯片A,2021-12-14,1.0736
34,013445,东财芯片A,2021-12-15,1.0606
35,013445,东财芯片A,2021-12-16,1.0599
36,013445,东财芯片A,2021-12-17,1.0296
37,013445,东财芯片A,2021-12-20,1.0117
38,013445,东财芯片A,2021-12-21,1.0184
39,013445,东财芯片A,2021-12-22,1.0297
40,013445,东财芯片A,2021-12-23,1.0307
41,013445,东财芯片A,2021-12-24,1.029
42,013445,东财芯片A,2021-12-27,1.0225
43,013445,东财芯片A,2021-12-28,1.0289
44,013445,东财芯片A,2021-12-29,1.0134
45,013445,东财芯片A,2021-12-30,1.0379
46,013445,东财芯片A,2021-12-31,1.0383
47,013445,东财芯片A,2022-01-04,1.0194
48,013445,东财芯片A,2022-01-05,0.9795
49,013445,东财芯片A,2022-01-06,0.9748
50,013445,东财芯片A,2022-01-07,0.9629
51,013445,东财芯片A,2022-01-10,0.9556
52,013445,东财芯片A,2022-01-11,0.9389
53,013445,东财芯片A,2022-01-12,0.9547
54,013445,东财芯片A,2022-01-13,0.939
55,013445,东财芯片A,2022-01-14,0.9513
56,013445,东财芯片A,2022-01-17,0.9699
57,013445,东财芯片A,2022-01-18,0.979
58,013445,东财芯片A,2022-01-19,0.9632
59,013445,东财芯片A,2022-01-20,0.9536
60,013445,东财芯片A,2022-01-21,0.9368
61,013445,东财芯片A,2022-01-24,0.9496
62,013445,东财芯片A,2022-01-25,0.9294
63,013445,东财芯片A,2022-01-26,0.939
64,013445,东财芯片A,2022-01-27,0.907
65,013445,东财芯片A,2022-01-28,0.892
66,013445,东财芯片A,2022-02-07,0.8983
67,013445,东财芯片A,2022-02-08,0.8763
68,013445,东财芯片A,2022-02-09,0.8821
69,013445,东财芯片A,2022-02-10,0.8845
70,013445,东财芯片A,2022-02-11,0.8703
71,013445,东财芯片A,2022-02-14,0.8623
72,013445,东财芯片A,2022-02-15,0.8928
73,013445,东财芯片A,2022-02-16,0.8878
74,013445,东财芯片A,2022-02-17,0.8966
75,013445,东财芯片A,2022-02-18,0.889
76,013445,东财芯片A,2022-02-21,0.887
77,013445,东财芯片A,2022-02-22,0.8895
78,013445,东财芯片A,2022-02-23,0.9378
79,013445,东财芯片A,2022-02-24,0.9293
80,013445,东财芯片A,2022-02-25,0.9377
81,013445,东财芯片A,2022-02-28,0.942
82,013445,东财芯片A,2022-03-01,0.9419
83,013445,东财芯片A,2022-03-02,0.9291
84,013445,东财芯片A,2022-03-03,0.9111
85,013445,东财芯片A,2022-03-04,0.9183
86,013445,东财芯片A,2022-03-07,0.8854
87,013445,东财芯片A,2022-03-08,0.8861
88,013445,东财芯片A,2022-03-09,0.8936
89,013445,东财芯片A,2022-03-10,0.9018
90,013445,东财芯片A,2022-03-11,0.9024
91,013445,东财芯片A,2022-03-14,0.8733
92,013445,东财芯片A,2022-03-15,0.8458
93,013445,东财芯片A,2022-03-16,0.8849
94,013445,东财芯片A,2022-03-17,0.898
95,013445,东财芯片A,2022-03-18,0.8902
96,013445,东财芯片A,2022-03-21,0.8981
97,013445,东财芯片A,2022-03-22,0.8838
98,013445,东财芯片A,2022-03-23,0.8839
