,FundCode,FundName,TradingDay,NetWorth
0,014855,嘉实中证半导体指数增强发起式C,2022-05-16,1.1041
1,014855,嘉实中证半导体指数增强发起式C,2022-05-17,1.1455
2,014855,嘉实中证半导体指数增强发起式C,2022-05-18,1.1493
3,014855,嘉实中证半导体指数增强发起式C,2022-05-19,1.1754
4,014855,嘉实中证半导体指数增强发起式C,2022-05-20,1.1712
5,014855,嘉实中证半导体指数增强发起式C,2022-05-23,1.1815
6,014855,嘉实中证半导体指数增强发起式C,2022-05-24,1.1374
7,014855,嘉实中证半导体指数增强发起式C,2022-05-25,1.1369
8,014855,嘉实中证半导体指数增强发起式C,2022-05-26,1.1167
9,014855,嘉实中证半导体指数增强发起式C,2022-05-27,1.1084
10,014855,嘉实中证半导体指数增强发起式C,2022-05-30,1.129
11,014855,嘉实中证半导体指数增强发起式C,2022-05-31,1.1473
12,014855,嘉实中证半导体指数增强发起式C,2022-06-01,1.1603
13,014855,嘉实中证半导体指数增强发起式C,2022-06-02,1.2109
14,014855,嘉实中证半导体指数增强发起式C,2022-06-06,1.2441
15,014855,嘉实中证半导体指数增强发起式C,2022-06-07,1.2179
16,014855,嘉实中证半导体指数增强发起式C,2022-06-08,1.2058
17,014855,嘉实中证半导体指数增强发起式C,2022-06-09,1.1672
18,014855,嘉实中证半导体指数增强发起式C,2022-06-10,1.184
19,014855,嘉实中证半导体指数增强发起式C,2022-06-13,1.169
20,014855,嘉实中证半导体指数增强发起式C,2022-06-14,1.1347
21,014855,嘉实中证半导体指数增强发起式C,2022-06-15,1.1445
22,014855,嘉实中证半导体指数增强发起式C,2022-06-16,1.1794
23,014855,嘉实中证半导体指数增强发起式C,2022-06-17,1.1759
24,014855,嘉实中证半导体指数增强发起式C,2022-06-20,1.1858
25,014855,嘉实中证半导体指数增强发起式C,2022-06-21,1.182
26,014855,嘉实中证半导体指数增强发起式C,2022-06-22,1.1509
27,014855,嘉实中证半导体指数增强发起式C,2022-06-23,1.1839
28,014855,嘉实中证半导体指数增强发起式C,2022-06-24,1.1977
29,014855,嘉实中证半导体指数增强发起式C,2022-06-27,1.2106
30,014855,嘉实中证半导体指数增强发起式C,2022-06-28,1.2424
31,014855,嘉实中证半导体指数增强发起式C,2022-06-29,1.2171
32,014855,嘉实中证半导体指数增强发起式C,2022-06-30,1.2386
33,014855,嘉实中证半导体指数增强发起式C,2022-07-01,1.2205
34,014855,嘉实中证半导体指数增强发起式C,2022-07-04,1.169
35,014855,嘉实中证半导体指数增强发起式C,2022-07-05,1.1648
36,014855,嘉实中证半导体指数增强发起式C,2022-07-06,1.1951
37,014855,嘉实中证半导体指数增强发起式C,2022-07-07,1.205
38,014855,嘉实中证半导体指数增强发起式C,2022-07-08,1.2112
39,014855,嘉实中证半导体指数增强发起式C,2022-07-11,1.1793
40,014855,嘉实中证半导体指数增强发起式C,2022-07-12,1.1424
41,014855,嘉实中证半导体指数增强发起式C,2022-07-13,1.1311
42,014855,嘉实中证半导体指数增强发起式C,2022-07-14,1.1501
43,014855,嘉实中证半导体指数增强发起式C,2022-07-15,1.1685
44,014855,嘉实中证半导体指数增强发起式C,2022-07-18,1.1544
45,014855,嘉实中证半导体指数增强发起式C,2022-07-19,1.1487
46,014855,嘉实中证半导体指数增强发起式C,2022-07-20,1.1593
47,014855,嘉实中证半导体指数增强发起式C,2022-07-21,1.206
