,FundCode,FundName,TradingDay,NetWorth
0,005629,汇安趋势动力股票C,2023-03-03,1.2255
1,005629,汇安趋势动力股票C,2023-03-02,1.1935
2,005629,汇安趋势动力股票C,2023-03-01,1.2007
3,005629,汇安趋势动力股票C,2023-02-28,1.1941
4,005629,汇安趋势动力股票C,2023-02-27,1.1912
5,005629,汇安趋势动力股票C,2023-02-24,1.211
6,005629,汇安趋势动力股票C,2023-02-23,1.2105
7,005629,汇安趋势动力股票C,2023-02-22,1.2237
8,005629,汇安趋势动力股票C,2023-02-21,1.2139
9,005629,汇安趋势动力股票C,2023-02-20,1.2082
10,005629,汇安趋势动力股票C,2023-02-17,1.1973
11,005629,汇安趋势动力股票C,2023-02-16,1.2404
12,005629,汇安趋势动力股票C,2023-02-15,1.2642
13,005629,汇安趋势动力股票C,2023-02-14,1.218
14,005629,汇安趋势动力股票C,2023-02-13,1.2322
15,005629,汇安趋势动力股票C,2023-02-10,1.2153
16,005629,汇安趋势动力股票C,2023-02-09,1.2286
17,005629,汇安趋势动力股票C,2023-02-08,1.1891
18,005629,汇安趋势动力股票C,2023-02-07,1.2013
19,005629,汇安趋势动力股票C,2023-02-06,1.2106
20,005629,汇安趋势动力股票C,2023-02-03,1.2205
21,005629,汇安趋势动力股票C,2023-02-02,1.2207
22,005629,汇安趋势动力股票C,2023-02-01,1.1893
23,005629,汇安趋势动力股票C,2023-01-31,1.1586
24,005629,汇安趋势动力股票C,2023-01-30,1.1894
25,005629,汇安趋势动力股票C,2023-01-20,1.1965
26,005629,汇安趋势动力股票C,2023-01-19,1.2031
27,005629,汇安趋势动力股票C,2023-01-18,1.1794
28,005629,汇安趋势动力股票C,2023-01-17,1.1844
29,005629,汇安趋势动力股票C,2023-01-16,1.1508
30,005629,汇安趋势动力股票C,2023-01-13,1.1302
31,005629,汇安趋势动力股票C,2023-01-12,1.1377
32,005629,汇安趋势动力股票C,2023-01-11,1.1456
33,005629,汇安趋势动力股票C,2023-01-10,1.1485
34,005629,汇安趋势动力股票C,2023-01-09,1.1318
35,005629,汇安趋势动力股票C,2023-01-06,1.1251
36,005629,汇安趋势动力股票C,2023-01-05,1.1258
37,005629,汇安趋势动力股票C,2023-01-04,1.1215
38,005629,汇安趋势动力股票C,2023-01-03,1.1588
39,005629,汇安趋势动力股票C,2022-12-30,1.1233
40,005629,汇安趋势动力股票C,2022-12-29,1.1335
41,005629,汇安趋势动力股票C,2022-12-28,1.1323
42,005629,汇安趋势动力股票C,2022-12-27,1.1382
43,005629,汇安趋势动力股票C,2022-12-26,1.1226
44,005629,汇安趋势动力股票C,2022-12-23,1.0847
45,005629,汇安趋势动力股票C,2022-12-22,1.115
46,005629,汇安趋势动力股票C,2022-12-21,1.1274
47,005629,汇安趋势动力股票C,2022-12-20,1.1439
48,005629,汇安趋势动力股票C,2022-12-19,1.1552
49,005629,汇安趋势动力股票C,2022-12-16,1.1847
50,005629,汇安趋势动力股票C,2022-12-15,1.2209
51,005629,汇安趋势动力股票C,2022-12-14,1.208
52,005629,汇安趋势动力股票C,2022-12-13,1.2118
53,005629,汇安趋势动力股票C,2022-12-12,1.2439
54,005629,汇安趋势动力股票C,2022-12-09,1.2349
55,005629,汇安趋势动力股票C,2022-12-08,1.2225
56,005629,汇安趋势动力股票C,2022-12-07,1.2395
57,005629,汇安趋势动力股票C,2022-12-06,1.2505
58,005629,汇安趋势动力股票C,2022-12-05,1.2171
59,005629,汇安趋势动力股票C,2022-12-02,1.2358
60,005629,汇安趋势动力股票C,2022-12-01,1.25
61,005629,汇安趋势动力股票C,2022-11-30,1.2345
62,005629,汇安趋势动力股票C,2022-11-29,1.2376
63,005629,汇安趋势动力股票C,2022-11-28,1.2526
64,005629,汇安趋势动力股票C,2022-11-25,1.2743
65,005629,汇安趋势动力股票C,2022-11-24,1.3058
66,005629,汇安趋势动力股票C,2022-11-23,1.3048
67,005629,汇安趋势动力股票C,2022-11-22,1.3141
68,005629,汇安趋势动力股票C,2022-11-21,1.3322
69,005629,汇安趋势动力股票C,2022-11-18,1.3149
70,005629,汇安趋势动力股票C,2022-11-17,1.3299
71,005629,汇安趋势动力股票C,2022-11-16,1.3161
72,005629,汇安趋势动力股票C,2022-11-15,1.3412
73,005629,汇安趋势动力股票C,2022-11-14,1.3022
74,005629,汇安趋势动力股票C,2022-11-11,1.3248
75,005629,汇安趋势动力股票C,2022-11-10,1.3269
76,005629,汇安趋势动力股票C,2022-11-09,1.3577
77,005629,汇安趋势动力股票C,2022-11-08,1.3706
78,005629,汇安趋势动力股票C,2022-11-07,1.3722
79,005629,汇安趋势动力股票C,2022-11-04,1.4005
80,005629,汇安趋势动力股票C,2022-11-03,1.3915
81,005629,汇安趋势动力股票C,2022-11-02,1.3719
82,005629,汇安趋势动力股票C,2022-11-01,1.3784
83,005629,汇安趋势动力股票C,2022-10-31,1.3762
84,005629,汇安趋势动力股票C,2022-10-28,1.363
85,005629,汇安趋势动力股票C,2022-10-27,1.3808
86,005629,汇安趋势动力股票C,2022-10-26,1.4079
87,005629,汇安趋势动力股票C,2022-10-25,1.3886
88,005629,汇安趋势动力股票C,2022-10-24,1.3932
89,005629,汇安趋势动力股票C,2022-10-21,1.3861
90,005629,汇安趋势动力股票C,2022-10-20,1.379
91,005629,汇安趋势动力股票C,2022-10-19,1.3707
92,005629,汇安趋势动力股票C,2022-10-18,1.3587
93,005629,汇安趋势动力股票C,2022-10-17,1.3576
94,005629,汇安趋势动力股票C,2022-10-14,1.3573
