,FundCode,FundName,TradingDay,NetWorth
0,007491,南方信息创新混合C,2019-08-19,1.0757
1,007491,南方信息创新混合C,2019-08-20,1.0756
2,007491,南方信息创新混合C,2019-08-21,1.0915
3,007491,南方信息创新混合C,2019-08-22,1.0901
4,007491,南方信息创新混合C,2019-08-23,1.0951
5,007491,南方信息创新混合C,2019-08-26,1.0842
6,007491,南方信息创新混合C,2019-08-27,1.098
7,007491,南方信息创新混合C,2019-08-28,1.0917
8,007491,南方信息创新混合C,2019-08-29,1.1084
9,007491,南方信息创新混合C,2019-08-30,1.0892
10,007491,南方信息创新混合C,2019-09-02,1.1259
11,007491,南方信息创新混合C,2019-09-03,1.174
12,007491,南方信息创新混合C,2019-09-04,1.1961
13,007491,南方信息创新混合C,2019-09-05,1.2327
14,007491,南方信息创新混合C,2019-09-06,1.2451
15,007491,南方信息创新混合C,2019-09-09,1.2967
16,007491,南方信息创新混合C,2019-09-10,1.2752
17,007491,南方信息创新混合C,2019-09-11,1.2614
18,007491,南方信息创新混合C,2019-09-12,1.2643
19,007491,南方信息创新混合C,2019-09-16,1.2788
20,007491,南方信息创新混合C,2019-09-17,1.2551
21,007491,南方信息创新混合C,2019-09-18,1.2516
22,007491,南方信息创新混合C,2019-09-19,1.2781
23,007491,南方信息创新混合C,2019-09-20,1.2902
24,007491,南方信息创新混合C,2019-09-23,1.295
25,007491,南方信息创新混合C,2019-09-24,1.3129
26,007491,南方信息创新混合C,2019-09-25,1.2647
27,007491,南方信息创新混合C,2019-09-26,1.2153
28,007491,南方信息创新混合C,2019-09-27,1.2364
29,007491,南方信息创新混合C,2019-09-30,1.2058
30,007491,南方信息创新混合C,2019-10-08,1.1956
31,007491,南方信息创新混合C,2019-10-09,1.2095
32,007491,南方信息创新混合C,2019-10-10,1.2465
33,007491,南方信息创新混合C,2019-10-11,1.2492
34,007491,南方信息创新混合C,2019-10-14,1.2816
35,007491,南方信息创新混合C,2019-10-15,1.2459
36,007491,南方信息创新混合C,2019-10-16,1.2354
37,007491,南方信息创新混合C,2019-10-17,1.2427
38,007491,南方信息创新混合C,2019-10-18,1.2187
39,007491,南方信息创新混合C,2019-10-21,1.2188
40,007491,南方信息创新混合C,2019-10-22,1.2488
41,007491,南方信息创新混合C,2019-10-23,1.2376
42,007491,南方信息创新混合C,2019-10-24,1.24
43,007491,南方信息创新混合C,2019-10-25,1.2581
44,007491,南方信息创新混合C,2019-10-28,1.2897
45,007491,南方信息创新混合C,2019-10-29,1.2709
46,007491,南方信息创新混合C,2019-10-30,1.2846
47,007491,南方信息创新混合C,2019-10-31,1.268
48,007491,南方信息创新混合C,2019-11-01,1.2773
49,007491,南方信息创新混合C,2019-11-04,1.3081
50,007491,南方信息创新混合C,2019-11-05,1.3166
51,007491,南方信息创新混合C,2019-11-06,1.2984
52,007491,南方信息创新混合C,2019-11-07,1.3139
53,007491,南方信息创新混合C,2019-11-08,1.3233
54,007491,南方信息创新混合C,2019-11-11,1.3115
55,007491,南方信息创新混合C,2019-11-12,1.2902
56,007491,南方信息创新混合C,2019-11-13,1.3159
57,007491,南方信息创新混合C,2019-11-14,1.3404
58,007491,南方信息创新混合C,2019-11-15,1.3281
59,007491,南方信息创新混合C,2019-11-18,1.3324
60,007491,南方信息创新混合C,2019-11-19,1.3623
61,007491,南方信息创新混合C,2019-11-20,1.3557
62,007491,南方信息创新混合C,2019-11-21,1.3498
63,007491,南方信息创新混合C,2019-11-22,1.3227
64,007491,南方信息创新混合C,2019-11-25,1.2863
65,007491,南方信息创新混合C,2019-11-26,1.2965
66,007491,南方信息创新混合C,2019-11-27,1.3147
67,007491,南方信息创新混合C,2019-11-28,1.3164
68,007491,南方信息创新混合C,2019-11-29,1.3043
69,007491,南方信息创新混合C,2019-12-02,1.3261
70,007491,南方信息创新混合C,2019-12-03,1.331
71,007491,南方信息创新混合C,2019-12-04,1.3433
72,007491,南方信息创新混合C,2019-12-05,1.3791
73,007491,南方信息创新混合C,2019-12-06,1.4083
74,007491,南方信息创新混合C,2019-12-09,1.4188
75,007491,南方信息创新混合C,2019-12-10,1.453
76,007491,南方信息创新混合C,2019-12-11,1.4383
77,007491,南方信息创新混合C,2019-12-12,1.4449
78,007491,南方信息创新混合C,2019-12-13,1.451
79,007491,南方信息创新混合C,2019-12-16,1.4879
80,007491,南方信息创新混合C,2019-12-17,1.5159
81,007491,南方信息创新混合C,2019-12-18,1.5188
82,007491,南方信息创新混合C,2019-12-19,1.5022
83,007491,南方信息创新混合C,2019-12-20,1.4836
84,007491,南方信息创新混合C,2019-12-23,1.4543
85,007491,南方信息创新混合C,2019-12-24,1.4829
86,007491,南方信息创新混合C,2019-12-25,1.5015
87,007491,南方信息创新混合C,2019-12-26,1.5043
88,007491,南方信息创新混合C,2019-12-27,1.4824
89,007491,南方信息创新混合C,2019-12-30,1.4852
90,007491,南方信息创新混合C,2019-12-31,1.494
91,007491,南方信息创新混合C,2020-01-02,1.5376
92,007491,南方信息创新混合C,2020-01-03,1.5415
93,007491,南方信息创新混合C,2020-01-06,1.5609
94,007491,南方信息创新混合C,2020-01-07,1.564
95,007491,南方信息创新混合C,2020-01-08,1.5391
96,007491,南方信息创新混合C,2020-01-09,1.5808
97,007491,南方信息创新混合C,2020-01-10,1.5804
98,007491,南方信息创新混合C,2020-01-13,1.6231
99,007491,南方信息创新混合C,2020-01-14,1.6182
100,007491,南方信息创新混合C,2020-01-15,1.6265
101,007491,南方信息创新混合C,2020-01-16,1.6425
102,007491,南方信息创新混合C,2020-01-17,1.6424
103,007491,南方信息创新混合C,2020-01-20,1.6967
104,007491,南方信息创新混合C,2020-01-21,1.6754
105,007491,南方信息创新混合C,2020-01-22,1.738
106,007491,南方信息创新混合C,2020-01-23,1.682
107,007491,南方信息创新混合C,2020-02-03,1.5516
108,007491,南方信息创新混合C,2020-02-04,1.6448
109,007491,南方信息创新混合C,2020-02-05,1.671
110,007491,南方信息创新混合C,2020-02-06,1.7379
111,007491,南方信息创新混合C,2020-02-07,1.7763
112,007491,南方信息创新混合C,2020-02-10,1.75
113,007491,南方信息创新混合C,2020-02-11,1.7529
114,007491,南方信息创新混合C,2020-02-12,1.7797
115,007491,南方信息创新混合C,2020-02-13,1.7717
116,007491,南方信息创新混合C,2020-02-14,1.7472
117,007491,南方信息创新混合C,2020-02-17,1.8135
118,007491,南方信息创新混合C,2020-02-18,1.8369
119,007491,南方信息创新混合C,2020-02-19,1.8055
120,007491,南方信息创新混合C,2020-02-20,1.8354
121,007491,南方信息创新混合C,2020-02-21,1.8653
122,007491,南方信息创新混合C,2020-02-24,1.9556
123,007491,南方信息创新混合C,2020-02-25,2.0112
124,007491,南方信息创新混合C,2020-02-26,1.8921
125,007491,南方信息创新混合C,2020-02-27,1.9019
126,007491,南方信息创新混合C,2020-02-28,1.8209
127,007491,南方信息创新混合C,2020-03-02,1.8866
128,007491,南方信息创新混合C,2020-03-03,1.8785
129,007491,南方信息创新混合C,2020-03-04,1.8197
130,007491,南方信息创新混合C,2020-03-05,1.8176
131,007491,南方信息创新混合C,2020-03-06,1.8045
132,007491,南方信息创新混合C,2020-03-09,1.7009
133,007491,南方信息创新混合C,2020-03-10,1.7866
134,007491,南方信息创新混合C,2020-03-11,1.7308
135,007491,南方信息创新混合C,2020-03-12,1.7077
136,007491,南方信息创新混合C,2020-03-13,1.7173
137,007491,南方信息创新混合C,2020-03-16,1.5914
138,007491,南方信息创新混合C,2020-03-17,1.5932
139,007491,南方信息创新混合C,2020-03-18,1.5692
140,007491,南方信息创新混合C,2020-03-19,1.6068
141,007491,南方信息创新混合C,2020-03-20,1.6174
142,007491,南方信息创新混合C,2020-03-23,1.525
143,007491,南方信息创新混合C,2020-03-24,1.5452
144,007491,南方信息创新混合C,2020-03-25,1.59
145,007491,南方信息创新混合C,2020-03-26,1.5808
146,007491,南方信息创新混合C,2020-03-27,1.5486
147,007491,南方信息创新混合C,2020-03-30,1.4941
148,007491,南方信息创新混合C,2020-03-31,1.4948
149,007491,南方信息创新混合C,2020-04-01,1.4964
150,007491,南方信息创新混合C,2020-04-02,1.5778
151,007491,南方信息创新混合C,2020-04-03,1.5664
152,007491,南方信息创新混合C,2020-04-07,1.6154
153,007491,南方信息创新混合C,2020-04-08,1.6151
154,007491,南方信息创新混合C,2020-04-09,1.6099
155,007491,南方信息创新混合C,2020-04-10,1.5442
156,007491,南方信息创新混合C,2020-04-13,1.5088
157,007491,南方信息创新混合C,2020-04-14,1.5656
158,007491,南方信息创新混合C,2020-04-15,1.5766
159,007491,南方信息创新混合C,2020-04-16,1.5899
160,007491,南方信息创新混合C,2020-04-17,1.6178
161,007491,南方信息创新混合C,2020-04-20,1.6452
162,007491,南方信息创新混合C,2020-04-21,1.6444
163,007491,南方信息创新混合C,2020-04-22,1.6489
164,007491,南方信息创新混合C,2020-04-23,1.6279
165,007491,南方信息创新混合C,2020-04-24,1.6036
166,007491,南方信息创新混合C,2020-04-27,1.6023
167,007491,南方信息创新混合C,2020-04-28,1.6267
168,007491,南方信息创新混合C,2020-04-29,1.6261
169,007491,南方信息创新混合C,2020-04-30,1.7045
170,007491,南方信息创新混合C,2020-05-06,1.767
171,007491,南方信息创新混合C,2020-05-07,1.7584
172,007491,南方信息创新混合C,2020-05-08,1.7819
173,007491,南方信息创新混合C,2020-05-11,1.769
174,007491,南方信息创新混合C,2020-05-12,1.7722
175,007491,南方信息创新混合C,2020-05-13,1.7899
176,007491,南方信息创新混合C,2020-05-14,1.7728
177,007491,南方信息创新混合C,2020-05-15,1.8099
178,007491,南方信息创新混合C,2020-05-18,1.7546
179,007491,南方信息创新混合C,2020-05-19,1.8045
180,007491,南方信息创新混合C,2020-05-20,1.7597
181,007491,南方信息创新混合C,2020-05-21,1.7158
182,007491,南方信息创新混合C,2020-05-22,1.6815
183,007491,南方信息创新混合C,2020-05-25,1.6634
184,007491,南方信息创新混合C,2020-05-26,1.7164
185,007491,南方信息创新混合C,2020-05-27,1.6934
186,007491,南方信息创新混合C,2020-05-28,1.6872
187,007491,南方信息创新混合C,2020-05-29,1.7027
188,007491,南方信息创新混合C,2020-06-01,1.7819
189,007491,南方信息创新混合C,2020-06-02,1.7927
190,007491,南方信息创新混合C,2020-06-03,1.7919
191,007491,南方信息创新混合C,2020-06-04,1.7765
192,007491,南方信息创新混合C,2020-06-05,1.7904
193,007491,南方信息创新混合C,2020-06-08,1.7718
194,007491,南方信息创新混合C,2020-06-09,1.7881
195,007491,南方信息创新混合C,2020-06-10,1.8088
196,007491,南方信息创新混合C,2020-06-11,1.8221
197,007491,南方信息创新混合C,2020-06-12,1.8375
198,007491,南方信息创新混合C,2020-06-15,1.82
199,007491,南方信息创新混合C,2020-06-16,1.8699
200,007491,南方信息创新混合C,2020-06-17,1.863
201,007491,南方信息创新混合C,2020-06-18,1.9257
202,007491,南方信息创新混合C,2020-06-19,1.9462
203,007491,南方信息创新混合C,2020-06-22,1.9746
204,007491,南方信息创新混合C,2020-06-23,2.0091
205,007491,南方信息创新混合C,2020-06-24,2.0219
206,007491,南方信息创新混合C,2020-06-29,2.0068
207,007491,南方信息创新混合C,2020-06-30,2.0776
208,007491,南方信息创新混合C,2020-07-01,2.0677
209,007491,南方信息创新混合C,2020-07-02,2.0853
210,007491,南方信息创新混合C,2020-07-03,2.1025
211,007491,南方信息创新混合C,2020-07-06,2.2194
212,007491,南方信息创新混合C,2020-07-07,2.2695
213,007491,南方信息创新混合C,2020-07-08,2.347
214,007491,南方信息创新混合C,2020-07-09,2.4009
215,007491,南方信息创新混合C,2020-07-10,2.3919
216,007491,南方信息创新混合C,2020-07-13,2.4797
217,007491,南方信息创新混合C,2020-07-14,2.4215
218,007491,南方信息创新混合C,2020-07-15,2.3351
219,007491,南方信息创新混合C,2020-07-16,2.1821
220,007491,南方信息创新混合C,2020-07-17,2.1867
221,007491,南方信息创新混合C,2020-07-20,2.2212
222,007491,南方信息创新混合C,2020-07-21,2.2518
223,007491,南方信息创新混合C,2020-07-22,2.2643
224,007491,南方信息创新混合C,2020-07-23,2.2697
225,007491,南方信息创新混合C,2020-07-24,2.1385
226,007491,南方信息创新混合C,2020-07-27,2.1019
227,007491,南方信息创新混合C,2020-07-28,2.1505
228,007491,南方信息创新混合C,2020-07-29,2.241
229,007491,南方信息创新混合C,2020-07-30,2.2243
230,007491,南方信息创新混合C,2020-07-31,2.2952
231,007491,南方信息创新混合C,2020-08-03,2.3798
232,007491,南方信息创新混合C,2020-08-04,2.3231
233,007491,南方信息创新混合C,2020-08-05,2.3472
234,007491,南方信息创新混合C,2020-08-06,2.3242
235,007491,南方信息创新混合C,2020-08-07,2.2634
236,007491,南方信息创新混合C,2020-08-10,2.2472
237,007491,南方信息创新混合C,2020-08-11,2.2087
238,007491,南方信息创新混合C,2020-08-12,2.1836
239,007491,南方信息创新混合C,2020-08-13,2.1775
240,007491,南方信息创新混合C,2020-08-14,2.2068
241,007491,南方信息创新混合C,2020-08-17,2.2225
242,007491,南方信息创新混合C,2020-08-18,2.2295
243,007491,南方信息创新混合C,2020-08-19,2.1558
244,007491,南方信息创新混合C,2020-08-20,2.1438
245,007491,南方信息创新混合C,2020-08-21,2.1598
246,007491,南方信息创新混合C,2020-08-24,2.2021
247,007491,南方信息创新混合C,2020-08-25,2.1925
248,007491,南方信息创新混合C,2020-08-26,2.1243
249,007491,南方信息创新混合C,2020-08-27,2.1697
250,007491,南方信息创新混合C,2020-08-28,2.1831
251,007491,南方信息创新混合C,2020-08-31,2.1721
252,007491,南方信息创新混合C,2020-09-01,2.2012
253,007491,南方信息创新混合C,2020-09-02,2.2265
254,007491,南方信息创新混合C,2020-09-03,2.1879
255,007491,南方信息创新混合C,2020-09-04,2.1647
256,007491,南方信息创新混合C,2020-09-07,2.083
257,007491,南方信息创新混合C,2020-09-08,2.0731
258,007491,南方信息创新混合C,2020-09-09,2.0112
259,007491,南方信息创新混合C,2020-09-10,1.9798
260,007491,南方信息创新混合C,2020-09-11,2.0363
261,007491,南方信息创新混合C,2020-09-14,2.0815
262,007491,南方信息创新混合C,2020-09-15,2.1098
263,007491,南方信息创新混合C,2020-09-16,2.0845
264,007491,南方信息创新混合C,2020-09-17,2.0987
265,007491,南方信息创新混合C,2020-09-18,2.1338
266,007491,南方信息创新混合C,2020-09-21,2.1039
267,007491,南方信息创新混合C,2020-09-22,2.0958
