,FundCode,FundName,TradingDay,NetWorth
0,001574,中海混改红利混合,2023-03-03,1.406
1,001574,中海混改红利混合,2023-03-02,1.364
2,001574,中海混改红利混合,2023-03-01,1.377
3,001574,中海混改红利混合,2023-02-28,1.375
4,001574,中海混改红利混合,2023-02-27,1.374
5,001574,中海混改红利混合,2023-02-24,1.394
6,001574,中海混改红利混合,2023-02-23,1.396
7,001574,中海混改红利混合,2023-02-22,1.404
8,001574,中海混改红利混合,2023-02-21,1.402
9,001574,中海混改红利混合,2023-02-20,1.41
10,001574,中海混改红利混合,2023-02-17,1.4
11,001574,中海混改红利混合,2023-02-16,1.448
12,001574,中海混改红利混合,2023-02-15,1.48
13,001574,中海混改红利混合,2023-02-14,1.448
14,001574,中海混改红利混合,2023-02-13,1.449
15,001574,中海混改红利混合,2023-02-10,1.443
16,001574,中海混改红利混合,2023-02-09,1.46
17,001574,中海混改红利混合,2023-02-08,1.402
18,001574,中海混改红利混合,2023-02-07,1.419
19,001574,中海混改红利混合,2023-02-06,1.438
20,001574,中海混改红利混合,2023-02-03,1.454
21,001574,中海混改红利混合,2023-02-02,1.457
22,001574,中海混改红利混合,2023-02-01,1.42
23,001574,中海混改红利混合,2023-01-31,1.4
24,001574,中海混改红利混合,2023-01-30,1.444
25,001574,中海混改红利混合,2023-01-20,1.456
26,001574,中海混改红利混合,2023-01-19,1.462
27,001574,中海混改红利混合,2023-01-18,1.429
28,001574,中海混改红利混合,2023-01-17,1.436
29,001574,中海混改红利混合,2023-01-16,1.383
30,001574,中海混改红利混合,2023-01-13,1.336
31,001574,中海混改红利混合,2023-01-12,1.337
32,001574,中海混改红利混合,2023-01-11,1.342
33,001574,中海混改红利混合,2023-01-10,1.358
34,001574,中海混改红利混合,2023-01-09,1.347
35,001574,中海混改红利混合,2023-01-06,1.345
36,001574,中海混改红利混合,2023-01-05,1.357
37,001574,中海混改红利混合,2023-01-04,1.35
38,001574,中海混改红利混合,2023-01-03,1.375
39,001574,中海混改红利混合,2022-12-30,1.351
40,001574,中海混改红利混合,2022-12-29,1.365
41,001574,中海混改红利混合,2022-12-28,1.37
42,001574,中海混改红利混合,2022-12-27,1.379
43,001574,中海混改红利混合,2022-12-26,1.357
44,001574,中海混改红利混合,2022-12-23,1.314
45,001574,中海混改红利混合,2022-12-22,1.357
46,001574,中海混改红利混合,2022-12-21,1.379
47,001574,中海混改红利混合,2022-12-20,1.396
48,001574,中海混改红利混合,2022-12-19,1.404
49,001574,中海混改红利混合,2022-12-16,1.438
50,001574,中海混改红利混合,2022-12-15,1.473
51,001574,中海混改红利混合,2022-12-14,1.454
52,001574,中海混改红利混合,2022-12-13,1.467
53,001574,中海混改红利混合,2022-12-12,1.504
54,001574,中海混改红利混合,2022-12-09,1.491
55,001574,中海混改红利混合,2022-12-08,1.468
56,001574,中海混改红利混合,2022-12-07,1.493
57,001574,中海混改红利混合,2022-12-06,1.505
58,001574,中海混改红利混合,2022-12-05,1.465
59,001574,中海混改红利混合,2022-12-02,1.471
60,001574,中海混改红利混合,2022-12-01,1.475
61,001574,中海混改红利混合,2022-11-30,1.449
62,001574,中海混改红利混合,2022-11-29,1.451
63,001574,中海混改红利混合,2022-11-28,1.459
64,001574,中海混改红利混合,2022-11-25,1.468
65,001574,中海混改红利混合,2022-11-24,1.481
66,001574,中海混改红利混合,2022-11-23,1.483
67,001574,中海混改红利混合,2022-11-22,1.493
68,001574,中海混改红利混合,2022-11-21,1.5
69,001574,中海混改红利混合,2022-11-18,1.495
70,001574,中海混改红利混合,2022-11-17,1.541
