,FundCode,FundName,TradingDay,NetWorth
0,006025,诺安优化配置混合,2023-03-03,1.4539
1,006025,诺安优化配置混合,2023-03-02,1.3997
2,006025,诺安优化配置混合,2023-03-01,1.4124
3,006025,诺安优化配置混合,2023-02-28,1.3848
4,006025,诺安优化配置混合,2023-02-27,1.3741
5,006025,诺安优化配置混合,2023-02-24,1.4017
6,006025,诺安优化配置混合,2023-02-23,1.4046
7,006025,诺安优化配置混合,2023-02-22,1.4154
8,006025,诺安优化配置混合,2023-02-21,1.4018
9,006025,诺安优化配置混合,2023-02-20,1.4199
10,006025,诺安优化配置混合,2023-02-17,1.403
11,006025,诺安优化配置混合,2023-02-16,1.4481
12,006025,诺安优化配置混合,2023-02-15,1.4903
13,006025,诺安优化配置混合,2023-02-14,1.4536
14,006025,诺安优化配置混合,2023-02-13,1.4528
15,006025,诺安优化配置混合,2023-02-10,1.4361
16,006025,诺安优化配置混合,2023-02-09,1.4533
17,006025,诺安优化配置混合,2023-02-08,1.3924
18,006025,诺安优化配置混合,2023-02-07,1.4109
19,006025,诺安优化配置混合,2023-02-06,1.4136
20,006025,诺安优化配置混合,2023-02-03,1.434
21,006025,诺安优化配置混合,2023-02-02,1.4316
22,006025,诺安优化配置混合,2023-02-01,1.3966
23,006025,诺安优化配置混合,2023-01-31,1.375
24,006025,诺安优化配置混合,2023-01-30,1.405
25,006025,诺安优化配置混合,2023-01-20,1.4022
26,006025,诺安优化配置混合,2023-01-19,1.4028
27,006025,诺安优化配置混合,2023-01-18,1.368
28,006025,诺安优化配置混合,2023-01-17,1.3765
29,006025,诺安优化配置混合,2023-01-16,1.332
30,006025,诺安优化配置混合,2023-01-13,1.2815
31,006025,诺安优化配置混合,2023-01-12,1.2782
32,006025,诺安优化配置混合,2023-01-11,1.2887
33,006025,诺安优化配置混合,2023-01-10,1.2999
34,006025,诺安优化配置混合,2023-01-09,1.2791
35,006025,诺安优化配置混合,2023-01-06,1.2803
36,006025,诺安优化配置混合,2023-01-05,1.2893
37,006025,诺安优化配置混合,2023-01-04,1.2813
38,006025,诺安优化配置混合,2023-01-03,1.3078
39,006025,诺安优化配置混合,2022-12-30,1.279
40,006025,诺安优化配置混合,2022-12-29,1.2879
41,006025,诺安优化配置混合,2022-12-28,1.2879
42,006025,诺安优化配置混合,2022-12-27,1.3061
43,006025,诺安优化配置混合,2022-12-26,1.2926
44,006025,诺安优化配置混合,2022-12-23,1.2584
45,006025,诺安优化配置混合,2022-12-22,1.283
46,006025,诺安优化配置混合,2022-12-21,1.3092
47,006025,诺安优化配置混合,2022-12-20,1.3296
48,006025,诺安优化配置混合,2022-12-19,1.3444
49,006025,诺安优化配置混合,2022-12-16,1.3807
50,006025,诺安优化配置混合,2022-12-15,1.4258
51,006025,诺安优化配置混合,2022-12-14,1.412
52,006025,诺安优化配置混合,2022-12-13,1.4074
53,006025,诺安优化配置混合,2022-12-12,1.4361
54,006025,诺安优化配置混合,2022-12-09,1.4086
55,006025,诺安优化配置混合,2022-12-08,1.3789
56,006025,诺安优化配置混合,2022-12-07,1.4165
57,006025,诺安优化配置混合,2022-12-06,1.4318
58,006025,诺安优化配置混合,2022-12-05,1.3917
59,006025,诺安优化配置混合,2022-12-02,1.4051
60,006025,诺安优化配置混合,2022-12-01,1.406
61,006025,诺安优化配置混合,2022-11-30,1.3852
62,006025,诺安优化配置混合,2022-11-29,1.3975
63,006025,诺安优化配置混合,2022-11-28,1.3888
64,006025,诺安优化配置混合,2022-11-25,1.4003
65,006025,诺安优化配置混合,2022-11-24,1.4008
66,006025,诺安优化配置混合,2022-11-23,1.4161
67,006025,诺安优化配置混合,2022-11-22,1.4309
68,006025,诺安优化配置混合,2022-11-21,1.4392
69,006025,诺安优化配置混合,2022-11-18,1.4345
70,006025,诺安优化配置混合,2022-11-17,1.4849
71,006025,诺安优化配置混合,2022-11-16,1.4498
72,006025,诺安优化配置混合,2022-11-15,1.4899
73,006025,诺安优化配置混合,2022-11-14,1.4178
74,006025,诺安优化配置混合,2022-11-11,1.4255
75,006025,诺安优化配置混合,2022-11-10,1.3997
76,006025,诺安优化配置混合,2022-11-09,1.458
77,006025,诺安优化配置混合,2022-11-08,1.4863
78,006025,诺安优化配置混合,2022-11-07,1.4925
79,006025,诺安优化配置混合,2022-11-04,1.5215
80,006025,诺安优化配置混合,2022-11-03,1.5255
81,006025,诺安优化配置混合,2022-11-02,1.4859
82,006025,诺安优化配置混合,2022-11-01,1.507
83,006025,诺安优化配置混合,2022-10-31,1.5108
84,006025,诺安优化配置混合,2022-10-28,1.4686
85,006025,诺安优化配置混合,2022-10-27,1.457
86,006025,诺安优化配置混合,2022-10-26,1.4808
87,006025,诺安优化配置混合,2022-10-25,1.4472
88,006025,诺安优化配置混合,2022-10-24,1.439
89,006025,诺安优化配置混合,2022-10-21,1.423
90,006025,诺安优化配置混合,2022-10-20,1.4382
91,006025,诺安优化配置混合,2022-10-19,1.3383
92,006025,诺安优化配置混合,2022-10-18,1.3444
93,006025,诺安优化配置混合,2022-10-17,1.3552
94,006025,诺安优化配置混合,2022-10-14,1.3076
95,006025,诺安优化配置混合,2022-10-13,1.2933
96,006025,诺安优化配置混合,2022-10-12,1.2958
97,006025,诺安优化配置混合,2022-10-11,1.2223
98,006025,诺安优化配置混合,2022-10-10,1.273
99,006025,诺安优化配置混合,2022-09-30,1.4329
100,006025,诺安优化配置混合,2022-09-29,1.4905
101,006025,诺安优化配置混合,2022-09-28,1.4709
102,006025,诺安优化配置混合,2022-09-27,1.5125
103,006025,诺安优化配置混合,2022-09-26,1.464
104,006025,诺安优化配置混合,2022-09-23,1.4597
105,006025,诺安优化配置混合,2022-09-22,1.5011
106,006025,诺安优化配置混合,2022-09-21,1.474
107,006025,诺安优化配置混合,2022-09-20,1.5171
108,006025,诺安优化配置混合,2022-09-19,1.5214
109,006025,诺安优化配置混合,2022-09-16,1.5621
110,006025,诺安优化配置混合,2022-09-15,1.5363
