FundCode,FundName,TradingDay,NetWorth
014855,嘉实中证半导体指数增强发起式C,2023-03-03,1.1428
014855,嘉实中证半导体指数增强发起式C,2023-03-02,1.1056
014855,嘉实中证半导体指数增强发起式C,2023-03-01,1.113
014855,嘉实中证半导体指数增强发起式C,2023-02-28,1.1105
014855,嘉实中证半导体指数增强发起式C,2023-02-27,1.1057
014855,嘉实中证半导体指数增强发起式C,2023-02-24,1.1226
014855,嘉实中证半导体指数增强发起式C,2023-02-23,1.1251
014855,嘉实中证半导体指数增强发起式C,2023-02-22,1.1281
014855,嘉实中证半导体指数增强发起式C,2023-02-21,1.1276
014855,嘉实中证半导体指数增强发起式C,2023-02-20,1.1298
014855,嘉实中证半导体指数增强发起式C,2023-02-17,1.1203
014855,嘉实中证半导体指数增强发起式C,2023-02-16,1.1633
014855,嘉实中证半导体指数增强发起式C,2023-02-15,1.1848
014855,嘉实中证半导体指数增强发起式C,2023-02-14,1.161
014855,嘉实中证半导体指数增强发起式C,2023-02-13,1.1647
014855,嘉实中证半导体指数增强发起式C,2023-02-10,1.1553
014855,嘉实中证半导体指数增强发起式C,2023-02-09,1.1676
014855,嘉实中证半导体指数增强发起式C,2023-02-08,1.1219
014855,嘉实中证半导体指数增强发起式C,2023-02-07,1.1334
014855,嘉实中证半导体指数增强发起式C,2023-02-06,1.1453
014855,嘉实中证半导体指数增强发起式C,2023-02-03,1.1568
014855,嘉实中证半导体指数增强发起式C,2023-02-02,1.1565
014855,嘉实中证半导体指数增强发起式C,2023-02-01,1.1285
014855,嘉实中证半导体指数增强发起式C,2023-01-31,1.1075
014855,嘉实中证半导体指数增强发起式C,2023-01-30,1.1392
014855,嘉实中证半导体指数增强发起式C,2023-01-20,1.1502
014855,嘉实中证半导体指数增强发起式C,2023-01-19,1.1554
014855,嘉实中证半导体指数增强发起式C,2023-01-18,1.1369
014855,嘉实中证半导体指数增强发起式C,2023-01-17,1.1413
014855,嘉实中证半导体指数增强发起式C,2023-01-16,1.1104
014855,嘉实中证半导体指数增强发起式C,2023-01-13,1.0811
014855,嘉实中证半导体指数增强发起式C,2023-01-12,1.0822
014855,嘉实中证半导体指数增强发起式C,2023-01-11,1.0902
014855,嘉实中证半导体指数增强发起式C,2023-01-10,1.0936
014855,嘉实中证半导体指数增强发起式C,2023-01-09,1.0835
014855,嘉实中证半导体指数增强发起式C,2023-01-06,1.0779
014855,嘉实中证半导体指数增强发起式C,2023-01-05,1.0768
014855,嘉实中证半导体指数增强发起式C,2023-01-04,1.0691
014855,嘉实中证半导体指数增强发起式C,2023-01-03,1.094
014855,嘉实中证半导体指数增强发起式C,2022-12-30,1.075
