FundCode,FundName,TradingDay,NetWorth
013082,信诚中证基建工程指数(LOF)C,2023-03-03,0.8212
013082,信诚中证基建工程指数(LOF)C,2023-03-02,0.8013
013082,信诚中证基建工程指数(LOF)C,2023-03-01,0.787
013082,信诚中证基建工程指数(LOF)C,2023-02-28,0.7698
013082,信诚中证基建工程指数(LOF)C,2023-02-27,0.7613
013082,信诚中证基建工程指数(LOF)C,2023-02-24,0.7673
013082,信诚中证基建工程指数(LOF)C,2023-02-23,0.7723
013082,信诚中证基建工程指数(LOF)C,2023-02-22,0.7758
013082,信诚中证基建工程指数(LOF)C,2023-02-21,0.7769
013082,信诚中证基建工程指数(LOF)C,2023-02-20,0.7708
013082,信诚中证基建工程指数(LOF)C,2023-02-17,0.7482
013082,信诚中证基建工程指数(LOF)C,2023-02-16,0.7542
013082,信诚中证基建工程指数(LOF)C,2023-02-15,0.7621
013082,信诚中证基建工程指数(LOF)C,2023-02-14,0.7684
013082,信诚中证基建工程指数(LOF)C,2023-02-13,0.7688
013082,信诚中证基建工程指数(LOF)C,2023-02-10,0.7608
013082,信诚中证基建工程指数(LOF)C,2023-02-09,0.7582
013082,信诚中证基建工程指数(LOF)C,2023-02-08,0.7542
013082,信诚中证基建工程指数(LOF)C,2023-02-07,0.7638
013082,信诚中证基建工程指数(LOF)C,2023-02-06,0.7557
013082,信诚中证基建工程指数(LOF)C,2023-02-03,0.7549
013082,信诚中证基建工程指数(LOF)C,2023-02-02,0.7632
013082,信诚中证基建工程指数(LOF)C,2023-02-01,0.7626
013082,信诚中证基建工程指数(LOF)C,2023-01-31,0.7509
013082,信诚中证基建工程指数(LOF)C,2023-01-30,0.7481
013082,信诚中证基建工程指数(LOF)C,2023-01-20,0.7509
013082,信诚中证基建工程指数(LOF)C,2023-01-19,0.7366
013082,信诚中证基建工程指数(LOF)C,2023-01-18,0.7317
013082,信诚中证基建工程指数(LOF)C,2023-01-17,0.7295
013082,信诚中证基建工程指数(LOF)C,2023-01-16,0.7309
013082,信诚中证基建工程指数(LOF)C,2023-01-13,0.725
013082,信诚中证基建工程指数(LOF)C,2023-01-12,0.7217
013082,信诚中证基建工程指数(LOF)C,2023-01-11,0.7253
013082,信诚中证基建工程指数(LOF)C,2023-01-10,0.726
013082,信诚中证基建工程指数(LOF)C,2023-01-09,0.7335
013082,信诚中证基建工程指数(LOF)C,2023-01-06,0.732
013082,信诚中证基建工程指数(LOF)C,2023-01-05,0.7319
013082,信诚中证基建工程指数(LOF)C,2023-01-04,0.7298
013082,信诚中证基建工程指数(LOF)C,2023-01-03,0.725
013082,信诚中证基建工程指数(LOF)C,2022-12-30,0.7153
013082,信诚中证基建工程指数(LOF)C,2022-12-29,0.708
013082,信诚中证基建工程指数(LOF)C,2022-12-28,0.7149
013082,信诚中证基建工程指数(LOF)C,2022-12-27,0.7199
013082,信诚中证基建工程指数(LOF)C,2022-12-26,0.7146
013082,信诚中证基建工程指数(LOF)C,2022-12-23,0.712
013082,信诚中证基建工程指数(LOF)C,2022-12-22,0.7134
013082,信诚中证基建工程指数(LOF)C,2022-12-21,0.7237
013082,信诚中证基建工程指数(LOF)C,2022-12-20,0.7286
013082,信诚中证基建工程指数(LOF)C,2022-12-19,0.7327
013082,信诚中证基建工程指数(LOF)C,2022-12-16,0.7563
013082,信诚中证基建工程指数(LOF)C,2022-12-15,0.7534
013082,信诚中证基建工程指数(LOF)C,2022-12-14,0.7574
013082,信诚中证基建工程指数(LOF)C,2022-12-13,0.763
013082,信诚中证基建工程指数(LOF)C,2022-12-12,0.7622
013082,信诚中证基建工程指数(LOF)C,2022-12-09,0.779
013082,信诚中证基建工程指数(LOF)C,2022-12-08,0.7812
013082,信诚中证基建工程指数(LOF)C,2022-12-07,0.7812
013082,信诚中证基建工程指数(LOF)C,2022-12-06,0.7906
013082,信诚中证基建工程指数(LOF)C,2022-12-05,0.804
013082,信诚中证基建工程指数(LOF)C,2022-12-02,0.7636
013082,信诚中证基建工程指数(LOF)C,2022-12-01,0.7629
013082,信诚中证基建工程指数(LOF)C,2022-11-30,0.7688
013082,信诚中证基建工程指数(LOF)C,2022-11-29,0.7752
013082,信诚中证基建工程指数(LOF)C,2022-11-28,0.756
013082,信诚中证基建工程指数(LOF)C,2022-11-25,0.7614
013082,信诚中证基建工程指数(LOF)C,2022-11-24,0.7452
013082,信诚中证基建工程指数(LOF)C,2022-11-23,0.7571
013082,信诚中证基建工程指数(LOF)C,2022-11-22,0.742
013082,信诚中证基建工程指数(LOF)C,2022-11-21,0.7139
013082,信诚中证基建工程指数(LOF)C,2022-11-18,0.7179
013082,信诚中证基建工程指数(LOF)C,2022-11-17,0.7251
013082,信诚中证基建工程指数(LOF)C,2022-11-16,0.7254
013082,信诚中证基建工程指数(LOF)C,2022-11-15,0.7306
013082,信诚中证基建工程指数(LOF)C,2022-11-14,0.7231
013082,信诚中证基建工程指数(LOF)C,2022-11-11,0.7252
013082,信诚中证基建工程指数(LOF)C,2022-11-10,0.7082
013082,信诚中证基建工程指数(LOF)C,2022-11-09,0.7107
013082,信诚中证基建工程指数(LOF)C,2022-11-08,0.7131
013082,信诚中证基建工程指数(LOF)C,2022-11-07,0.7137
013082,信诚中证基建工程指数(LOF)C,2022-11-04,0.7088
013082,信诚中证基建工程指数(LOF)C,2022-11-03,0.6982
013082,信诚中证基建工程指数(LOF)C,2022-11-02,0.7007
013082,信诚中证基建工程指数(LOF)C,2022-11-01,0.6986
013082,信诚中证基建工程指数(LOF)C,2022-10-31,0.6816
013082,信诚中证基建工程指数(LOF)C,2022-10-28,0.6988
013082,信诚中证基建工程指数(LOF)C,2022-10-27,0.7146
013082,信诚中证基建工程指数(LOF)C,2022-10-26,0.7116
013082,信诚中证基建工程指数(LOF)C,2022-10-25,0.7092
013082,信诚中证基建工程指数(LOF)C,2022-10-24,0.7022
013082,信诚中证基建工程指数(LOF)C,2022-10-21,0.717
013082,信诚中证基建工程指数(LOF)C,2022-10-20,0.7043
013082,信诚中证基建工程指数(LOF)C,2022-10-19,0.7086
