FundCode,FundName,TradingDay,NetWorth
001574,中海混改红利混合,2023-03-03,1.406
001574,中海混改红利混合,2023-03-02,1.364
001574,中海混改红利混合,2023-03-01,1.377
001574,中海混改红利混合,2023-02-28,1.375
001574,中海混改红利混合,2023-02-27,1.374
001574,中海混改红利混合,2023-02-24,1.394
001574,中海混改红利混合,2023-02-23,1.396
001574,中海混改红利混合,2023-02-22,1.404
001574,中海混改红利混合,2023-02-21,1.402
001574,中海混改红利混合,2023-02-20,1.41
001574,中海混改红利混合,2023-02-17,1.4
001574,中海混改红利混合,2023-02-16,1.448
001574,中海混改红利混合,2023-02-15,1.48
001574,中海混改红利混合,2023-02-14,1.448
001574,中海混改红利混合,2023-02-13,1.449
001574,中海混改红利混合,2023-02-10,1.443
001574,中海混改红利混合,2023-02-09,1.46
001574,中海混改红利混合,2023-02-08,1.402
001574,中海混改红利混合,2023-02-07,1.419
001574,中海混改红利混合,2023-02-06,1.438
001574,中海混改红利混合,2023-02-03,1.454
001574,中海混改红利混合,2023-02-02,1.457
001574,中海混改红利混合,2023-02-01,1.42
001574,中海混改红利混合,2023-01-31,1.4
001574,中海混改红利混合,2023-01-30,1.444
001574,中海混改红利混合,2023-01-20,1.456
001574,中海混改红利混合,2023-01-19,1.462
001574,中海混改红利混合,2023-01-18,1.429
001574,中海混改红利混合,2023-01-17,1.436
001574,中海混改红利混合,2023-01-16,1.383
001574,中海混改红利混合,2023-01-13,1.336
001574,中海混改红利混合,2023-01-12,1.337
001574,中海混改红利混合,2023-01-11,1.342
001574,中海混改红利混合,2023-01-10,1.358
001574,中海混改红利混合,2023-01-09,1.347
001574,中海混改红利混合,2023-01-06,1.345
001574,中海混改红利混合,2023-01-05,1.357
001574,中海混改红利混合,2023-01-04,1.35
001574,中海混改红利混合,2023-01-03,1.375
001574,中海混改红利混合,2022-12-30,1.351
001574,中海混改红利混合,2022-12-29,1.365
001574,中海混改红利混合,2022-12-28,1.37
001574,中海混改红利混合,2022-12-27,1.379
001574,中海混改红利混合,2022-12-26,1.357
001574,中海混改红利混合,2022-12-23,1.314
001574,中海混改红利混合,2022-12-22,1.357
001574,中海混改红利混合,2022-12-21,1.379
001574,中海混改红利混合,2022-12-20,1.396
001574,中海混改红利混合,2022-12-19,1.404
001574,中海混改红利混合,2022-12-16,1.438
001574,中海混改红利混合,2022-12-15,1.473
001574,中海混改红利混合,2022-12-14,1.454
001574,中海混改红利混合,2022-12-13,1.467
001574,中海混改红利混合,2022-12-12,1.504
001574,中海混改红利混合,2022-12-09,1.491
001574,中海混改红利混合,2022-12-08,1.468
001574,中海混改红利混合,2022-12-07,1.493
001574,中海混改红利混合,2022-12-06,1.505
001574,中海混改红利混合,2022-12-05,1.465
001574,中海混改红利混合,2022-12-02,1.471
001574,中海混改红利混合,2022-12-01,1.475
001574,中海混改红利混合,2022-11-30,1.449
001574,中海混改红利混合,2022-11-29,1.451
001574,中海混改红利混合,2022-11-28,1.459
001574,中海混改红利混合,2022-11-25,1.468
001574,中海混改红利混合,2022-11-24,1.481
001574,中海混改红利混合,2022-11-23,1.483
001574,中海混改红利混合,2022-11-22,1.493
001574,中海混改红利混合,2022-11-21,1.5
001574,中海混改红利混合,2022-11-18,1.495
001574,中海混改红利混合,2022-11-17,1.541
001574,中海混改红利混合,2022-11-16,1.502
001574,中海混改红利混合,2022-11-15,1.539
001574,中海混改红利混合,2022-11-14,1.466
001574,中海混改红利混合,2022-11-11,1.48
001574,中海混改红利混合,2022-11-10,1.451
001574,中海混改红利混合,2022-11-09,1.523
001574,中海混改红利混合,2022-11-08,1.547
001574,中海混改红利混合,2022-11-07,1.561
001574,中海混改红利混合,2022-11-04,1.596
001574,中海混改红利混合,2022-11-03,1.592
001574,中海混改红利混合,2022-11-02,1.533
001574,中海混改红利混合,2022-11-01,1.523
001574,中海混改红利混合,2022-10-31,1.532
001574,中海混改红利混合,2022-10-28,1.516
001574,中海混改红利混合,2022-10-27,1.506
001574,中海混改红利混合,2022-10-26,1.532
001574,中海混改红利混合,2022-10-25,1.497
001574,中海混改红利混合,2022-10-24,1.496
001574,中海混改红利混合,2022-10-21,1.482
001574,中海混改红利混合,2022-10-20,1.505
001574,中海混改红利混合,2022-10-19,1.412
001574,中海混改红利混合,2022-10-18,1.407
001574,中海混改红利混合,2022-10-17,1.416
001574,中海混改红利混合,2022-10-14,1.371
001574,中海混改红利混合,2022-10-13,1.349
001574,中海混改红利混合,2022-10-12,1.358
001574,中海混改红利混合,2022-10-11,1.285
001574,中海混改红利混合,2022-10-10,1.35
001574,中海混改红利混合,2022-09-30,1.502
001574,中海混改红利混合,2022-09-29,1.56
001574,中海混改红利混合,2022-09-28,1.542
001574,中海混改红利混合,2022-09-27,1.577
001574,中海混改红利混合,2022-09-26,1.546
001574,中海混改红利混合,2022-09-23,1.528
001574,中海混改红利混合,2022-09-22,1.576
001574,中海混改红利混合,2022-09-21,1.571
001574,中海混改红利混合,2022-09-20,1.62
001574,中海混改红利混合,2022-09-19,1.629
001574,中海混改红利混合,2022-09-16,1.66
001574,中海混改红利混合,2022-09-15,1.651
001574,中海混改红利混合,2022-09-14,1.707
001574,中海混改红利混合,2022-09-13,1.679
001574,中海混改红利混合,2022-09-09,1.672
001574,中海混改红利混合,2022-09-08,1.711
001574,中海混改红利混合,2022-09-07,1.714
001574,中海混改红利混合,2022-09-06,1.645
001574,中海混改红利混合,2022-09-05,1.634
001574,中海混改红利混合,2022-09-02,1.627
001574,中海混改红利混合,2022-09-01,1.611
001574,中海混改红利混合,2022-08-31,1.625
001574,中海混改红利混合,2022-08-30,1.665
001574,中海混改红利混合,2022-08-29,1.661
001574,中海混改红利混合,2022-08-26,1.623
001574,中海混改红利混合,2022-08-25,1.652
001574,中海混改红利混合,2022-08-24,1.66
