FundCode,FundName,TradingDay,NetWorth
007490,南方信息创新混合A,2019-08-19,1.0771
007490,南方信息创新混合A,2019-08-20,1.077
007490,南方信息创新混合A,2019-08-21,1.093
007490,南方信息创新混合A,2019-08-22,1.0916
007490,南方信息创新混合A,2019-08-23,1.0967
007490,南方信息创新混合A,2019-08-26,1.0858
007490,南方信息创新混合A,2019-08-27,1.0997
007490,南方信息创新混合A,2019-08-28,1.0934
007490,南方信息创新混合A,2019-08-29,1.1101
007490,南方信息创新混合A,2019-08-30,1.0909
007490,南方信息创新混合A,2019-09-02,1.1278
007490,南方信息创新混合A,2019-09-03,1.1759
007490,南方信息创新混合A,2019-09-04,1.1981
007490,南方信息创新混合A,2019-09-05,1.2348
007490,南方信息创新混合A,2019-09-06,1.2472
007490,南方信息创新混合A,2019-09-09,1.2989
007490,南方信息创新混合A,2019-09-10,1.2774
007490,南方信息创新混合A,2019-09-11,1.2636
007490,南方信息创新混合A,2019-09-12,1.2666
007490,南方信息创新混合A,2019-09-16,1.2812
007490,南方信息创新混合A,2019-09-17,1.2574
007490,南方信息创新混合A,2019-09-18,1.254
007490,南方信息创新混合A,2019-09-19,1.2805
007490,南方信息创新混合A,2019-09-20,1.2927
007490,南方信息创新混合A,2019-09-23,1.2976
007490,南方信息创新混合A,2019-09-24,1.3156
007490,南方信息创新混合A,2019-09-25,1.2673
007490,南方信息创新混合A,2019-09-26,1.2178
007490,南方信息创新混合A,2019-09-27,1.239
007490,南方信息创新混合A,2019-09-30,1.2084
007490,南方信息创新混合A,2019-10-08,1.1984
007490,南方信息创新混合A,2019-10-09,1.2123
007490,南方信息创新混合A,2019-10-10,1.2495
007490,南方信息创新混合A,2019-10-11,1.2522
007490,南方信息创新混合A,2019-10-14,1.2847
007490,南方信息创新混合A,2019-10-15,1.249
007490,南方信息创新混合A,2019-10-16,1.2385
007490,南方信息创新混合A,2019-10-17,1.2458
007490,南方信息创新混合A,2019-10-18,1.2218
007490,南方信息创新混合A,2019-10-21,1.222
007490,南方信息创新混合A,2019-10-22,1.2521
007490,南方信息创新混合A,2019-10-23,1.2409
007490,南方信息创新混合A,2019-10-24,1.2433
007490,南方信息创新混合A,2019-10-25,1.2615
007490,南方信息创新混合A,2019-10-28,1.2932
007490,南方信息创新混合A,2019-10-29,1.2744
007490,南方信息创新混合A,2019-10-30,1.2882
007490,南方信息创新混合A,2019-10-31,1.2716
007490,南方信息创新混合A,2019-11-01,1.281
007490,南方信息创新混合A,2019-11-04,1.3119
007490,南方信息创新混合A,2019-11-05,1.3204
007490,南方信息创新混合A,2019-11-06,1.3022
007490,南方信息创新混合A,2019-11-07,1.3179
007490,南方信息创新混合A,2019-11-08,1.3273
007490,南方信息创新混合A,2019-11-11,1.3155
007490,南方信息创新混合A,2019-11-12,1.2942
007490,南方信息创新混合A,2019-11-13,1.32
007490,南方信息创新混合A,2019-11-14,1.3447
007490,南方信息创新混合A,2019-11-15,1.3323
007490,南方信息创新混合A,2019-11-18,1.3367
007490,南方信息创新混合A,2019-11-19,1.3667
007490,南方信息创新混合A,2019-11-20,1.3602
007490,南方信息创新混合A,2019-11-21,1.3542
007490,南方信息创新混合A,2019-11-22,1.3271
007490,南方信息创新混合A,2019-11-25,1.2906
007490,南方信息创新混合A,2019-11-26,1.3009
007490,南方信息创新混合A,2019-11-27,1.3192
007490,南方信息创新混合A,2019-11-28,1.3209
007490,南方信息创新混合A,2019-11-29,1.3088
007490,南方信息创新混合A,2019-12-02,1.3308
007490,南方信息创新混合A,2019-12-03,1.3357
007490,南方信息创新混合A,2019-12-04,1.348
007490,南方信息创新混合A,2019-12-05,1.3841
007490,南方信息创新混合A,2019-12-06,1.4134
007490,南方信息创新混合A,2019-12-09,1.424
007490,南方信息创新混合A,2019-12-10,1.4583
007490,南方信息创新混合A,2019-12-11,1.4436
007490,南方信息创新混合A,2019-12-12,1.4503
007490,南方信息创新混合A,2019-12-13,1.4564
007490,南方信息创新混合A,2019-12-16,1.4935
007490,南方信息创新混合A,2019-12-17,1.5217
007490,南方信息创新混合A,2019-12-18,1.5246
007490,南方信息创新混合A,2019-12-19,1.508
007490,南方信息创新混合A,2019-12-20,1.4893
007490,南方信息创新混合A,2019-12-23,1.46
007490,南方信息创新混合A,2019-12-24,1.4888
007490,南方信息创新混合A,2019-12-25,1.5075
007490,南方信息创新混合A,2019-12-26,1.5104
