FundCode,FundName,TradingDay,NetWorth
013841,银华集成电路混合C,2022-02-21,0.9507
013841,银华集成电路混合C,2022-02-22,0.9557
013841,银华集成电路混合C,2022-02-23,0.9891
013841,银华集成电路混合C,2022-02-24,0.9832
013841,银华集成电路混合C,2022-02-25,0.9881
013841,银华集成电路混合C,2022-02-28,0.9897
013841,银华集成电路混合C,2022-03-01,0.9914
013841,银华集成电路混合C,2022-03-02,0.9813
013841,银华集成电路混合C,2022-03-03,0.9665
013841,银华集成电路混合C,2022-03-04,0.9709
013841,银华集成电路混合C,2022-03-07,0.9535
013841,银华集成电路混合C,2022-03-08,0.9579
013841,银华集成电路混合C,2022-03-09,0.9678
013841,银华集成电路混合C,2022-03-10,0.9745
013841,银华集成电路混合C,2022-03-11,0.97
013841,银华集成电路混合C,2022-03-14,0.9484
013841,银华集成电路混合C,2022-03-15,0.9393
013841,银华集成电路混合C,2022-03-16,0.9708
013841,银华集成电路混合C,2022-03-17,0.9764
013841,银华集成电路混合C,2022-03-18,0.9708
013841,银华集成电路混合C,2022-03-21,0.9796
013841,银华集成电路混合C,2022-03-22,0.967
013841,银华集成电路混合C,2022-03-23,0.965
013841,银华集成电路混合C,2022-03-24,0.9511
013841,银华集成电路混合C,2022-03-25,0.9382
013841,银华集成电路混合C,2022-03-28,0.9317
013841,银华集成电路混合C,2022-03-29,0.9162
013841,银华集成电路混合C,2022-03-30,0.9317
013841,银华集成电路混合C,2022-03-31,0.9109
013841,银华集成电路混合C,2022-04-01,0.9111
013841,银华集成电路混合C,2022-04-06,0.8808
013841,银华集成电路混合C,2022-04-07,0.8693
013841,银华集成电路混合C,2022-04-08,0.8707
013841,银华集成电路混合C,2022-04-11,0.84
013841,银华集成电路混合C,2022-04-12,0.8417
013841,银华集成电路混合C,2022-04-13,0.818
013841,银华集成电路混合C,2022-04-14,0.8353
013841,银华集成电路混合C,2022-04-15,0.8338
013841,银华集成电路混合C,2022-04-18,0.8611
013841,银华集成电路混合C,2022-04-19,0.8401
013841,银华集成电路混合C,2022-04-20,0.8308
013841,银华集成电路混合C,2022-04-21,0.8209
013841,银华集成电路混合C,2022-04-22,0.8016
013841,银华集成电路混合C,2022-04-25,0.7502
013841,银华集成电路混合C,2022-04-26,0.7342
013841,银华集成电路混合C,2022-04-27,0.7931
013841,银华集成电路混合C,2022-04-28,0.7811
013841,银华集成电路混合C,2022-04-29,0.8088
013841,银华集成电路混合C,2022-05-05,0.808
013841,银华集成电路混合C,2022-05-06,0.7901
013841,银华集成电路混合C,2022-05-09,0.7778
013841,银华集成电路混合C,2022-05-10,0.8249
013841,银华集成电路混合C,2022-05-11,0.8512
013841,银华集成电路混合C,2022-05-12,0.8579
013841,银华集成电路混合C,2022-05-13,0.867
013841,银华集成电路混合C,2022-05-16,0.861
013841,银华集成电路混合C,2022-05-17,0.899
013841,银华集成电路混合C,2022-05-18,0.9045
013841,银华集成电路混合C,2022-05-19,0.9179
013841,银华集成电路混合C,2022-05-20,0.9199
013841,银华集成电路混合C,2022-05-23,0.9308
013841,银华集成电路混合C,2022-05-24,0.8972
013841,银华集成电路混合C,2022-05-25,0.8954
013841,银华集成电路混合C,2022-05-26,0.8873
013841,银华集成电路混合C,2022-05-27,0.887
013841,银华集成电路混合C,2022-05-30,0.9034
013841,银华集成电路混合C,2022-05-31,0.9233
013841,银华集成电路混合C,2022-06-01,0.9276
013841,银华集成电路混合C,2022-06-02,0.9785
013841,银华集成电路混合C,2022-06-06,0.9963
013841,银华集成电路混合C,2022-06-07,0.9758
013841,银华集成电路混合C,2022-06-08,0.9724
013841,银华集成电路混合C,2022-06-09,0.9408
013841,银华集成电路混合C,2022-06-10,0.9526
013841,银华集成电路混合C,2022-06-13,0.9354
013841,银华集成电路混合C,2022-06-14,0.908
013841,银华集成电路混合C,2022-06-15,0.9196
013841,银华集成电路混合C,2022-06-16,0.9344
013841,银华集成电路混合C,2022-06-17,0.9325
013841,银华集成电路混合C,2022-06-20,0.9364
013841,银华集成电路混合C,2022-06-21,0.9303
013841,银华集成电路混合C,2022-06-22,0.9053
013841,银华集成电路混合C,2022-06-23,0.9409
013841,银华集成电路混合C,2022-06-24,0.9466
013841,银华集成电路混合C,2022-06-27,0.9485
013841,银华集成电路混合C,2022-06-28,0.9754
013841,银华集成电路混合C,2022-06-29,0.9514
